,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
FR_Start,GMT,16:06:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,16:07:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,3.406810249,3.730294904,3.918507521,3.766958801,3.544453175,3.595667019,3.672248428,3.746255573,3.890473783,3.707934558,3.5815512,3.535062706,3.685535883,3.676204862,3.726488655,3.640952469,3.599568699,3.674416332,3.519367207,3.432343252,3.776704786,3.951200121,3.656235742,3.70684689,3.764616072,3.650355454,3.57052747,3.526174808,3.719194908,3.694065136,3.782921816,3.696526761
Throttle,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
AOA,1.660195708,1.650716186,1.619583964,1.672142863,1.656631351,1.667397857,1.664709091,1.63957274,1.659878016,1.688159943,1.72759831,1.698901653,1.661206841,1.66603291,1.667459726,1.690706253,1.661288619,1.626758456,1.729753137,1.712050438,1.630772114,1.622036934,1.663652658,1.621815562,1.643775225,1.647195816,1.720553398,1.71667695,1.657991886,1.664366841,1.560756087,1.578316569
SSA,17.61836815,17.61174774,17.59976959,17.5964241,17.67825508,17.68226624,17.72291946,17.69503021,17.65670013,17.68549347,17.66756248,17.60752678,17.62236023,17.61289406,17.6125679,17.61932755,17.59650993,17.71017075,17.64018822,17.67854691,17.65611458,17.70306969,17.64891815,17.70211983,17.68384933,17.6937809,17.64635277,17.7199192,17.73342896,17.73262405,17.7549324,17.68320274
G,1.026,1.041,1.014,0.973,1.007,1.012,0.993,1.024,0.973,0.98,0.989,0.994,1.017,1.016,1.004,0.987,1.002,1.026,0.973,1.007,1.028,0.995,0.959,1.029,0.986,1.01,0.994,1.021,1.016,0.994,1.022,0.999
RPM,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920
Fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ABSP,544.0651855,544.0373535,544.0314331,544.0203247,543.9951782,543.9658203,543.9430542,543.9399414,543.9155884,543.8833618,543.8578491,543.8538208,543.8154297,543.8198853,543.7832031,543.7862549,543.7634888,543.7379761,543.7253418,543.7015381,543.6746826,543.6644897,543.6239014,543.6165771,543.6037598,543.5874634,543.5541382,543.529541,543.5084839,543.515625,543.4854736,543.4689941
Yaw,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,56,56,56,56,56,56
Pitch,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Roll,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
Altitude,16945.63979,16945.63979,16945.63979,16945.63979,16945.63979,16946.5453,16946.5453,16946.5453,16946.5453,16946.5453,16946.5453,16946.5453,16946.5453,16946.5453,16946.5453,16946.5453,16947.52299,16947.52299,16947.52299,16947.52299,16947.52299,16947.52299,16947.52299,16947.52299,16947.52299,16947.52299,16948.42522,16948.42522,16948.42522,16948.42522,16948.42522,16948.42522
TAS,22.94999123,22.94999123,22.94999123,22.94999123,22.94999123,22.9499321,22.9499321,22.9499321,22.9499321,22.9499321,22.9499321,22.9499321,22.9499321,22.9499321,22.9499321,22.9499321,22.94989586,22.94989586,22.94989586,22.94989586,22.94989586,22.94989586,22.94989586,22.94989586,22.94989586,22.94989586,22.94988632,22.94988632,22.94988632,22.94988632,22.94988632,22.94988632
GS,23.02894783,23.02894783,23.02894783,23.02894783,23.02894783,23.02587509,23.02587509,23.02587509,23.02587509,23.02587509,23.02587509,23.02587509,23.02587509,23.02587509,23.02587509,23.02587509,23.01885033,23.01885033,23.01885033,23.01885033,23.01885033,23.01885033,23.01885033,23.01885033,23.01885033,23.01885033,23.01672745,23.01672745,23.01672745,23.01672745,23.01672745,23.01672745
Latitude,411963812,411964001,411964194,411964388,411964584,411964983,411965186,411965391,411965807,411966019,411966233,411966448,411966666,411967107,411967331,411967556,411968011,411968242,411968476,411968712,411968949,411969429,411969672,411969917,411970414,411970664,411970917,411971172,411971428,411971947,411972209,411972473
Longitude,285975537,285976026,285976514,285976998,285977482,285978444,285978922,285979400,285980348,285980821,285981292,285981761,285982227,285983157,285983619,285984079,285984995,285985451,285985906,285986358,285986808,285987702,285988146,285988588,285989466,285989902,285990337,285990770,285991201,285992056,285992480,285992902
Altitude_MSL,4950390,4950590,4950810,4951030,4951250,4951670,4951880,4952100,4952530,4952750,4952970,4953180,4953390,4953810,4954020,4954240,4954660,4954870,4955080,4955290,4955500,4955920,4956150,4956370,4956790,4957020,4957230,4957440,4957640,4958070,4958280,4958500
Time,16:06:58,16:06:58,16:06:58,16:06:58,16:06:59,16:06:59,16:06:59,16:06:59,16:07:00,16:07:00,16:07:00,16:07:00,16:07:01,16:07:01,16:07:01,16:07:01,16:07:02,16:07:02,16:07:02,16:07:02,16:07:03,16:07:03,16:07:03,16:07:03,16:07:04,16:07:04,16:07:04,16:07:04,16:07:05,16:07:05,16:07:05,16:07:05
