,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
FR_Start,GMT,18:07:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,18:07:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.03316198001593938,0.0289089952514288,0.028123989318691103,0.026081358745562288,0.02165244476313363,0.01798263048489648,0.01709653571979194,0.017822258448395273,0.018095652651648784,0.01969856635931153,0.016279972373782425,0.014657709584056959,0.013902957885199088,0.012247590825068882,0.010464007259800682,0.009230247760420363,0.007571337060665642,0.006731278291597101,0.005759663715683611,0.00427104785448279,0.0033988702202941874,0.0032808473126921573,0.00270805451905051,0.001991821472502651,0.00206262265123679,0.0025013195458452103,0.002845987005713425,0.002479003935547569,0.0021142630443443896,0.002037632505859318,0.0021387280221767317,0.0022192925429998607,0.0025060603765026026,0.0027237071854755864,0.0029331617626845896,0.002394870567057759,0.002336749988383299,0.0023080953193609253,0.0025999933713845213,0.003404690604454349,0.004658033697077539,0.0057344465069566275,0.005772873493658763,0.005687464445459331,0.005721205409898784,0.005166977957372507,0.00347089379810337,0.0010547041022935999,-0.0007370834871370943,-0.0018582425293038483,-0.00272773875349203,-0.003050782296462043,-0.0028882715867470546,-0.003239596261387342,-0.0040951904412908835,-0.0050514269656628955,-0.005452030116247817,-0.005558758675139293,-0.004989896426375409,-0.004763413625713124,-0.005422912917845696,-0.006956809297697595,-0.008458332440367575,-0.00907324061560831,-0.00973866112406971,-0.010147981673963741,-0.010018232825414069,-0.011129367421736895,-0.012293165437545233,-0.01317434005114697,-0.014539462477655663,-0.017309581870099577,-0.020887519709561535,-0.024067624227556587,-0.025697897063650377,-0.027253975756728464,-0.0285429286463717,-0.03026030519859055,-0.03222704581495794,-0.03504434855129644,-0.037708028895393764,-0.03994537555277506,-0.04240086496826196,-0.04502594186936198,-0.04737430168892295,-0.049673886238532514,-0.05189358726639748,-0.05394233804661222,-0.054968943966511266,-0.05574850496214107,-0.05627584498217684,-0.058200841080717,-0.059649383793674224,-0.060732113509756144,-0.06152144605918564,-0.06306379935524427,-0.0642055800559206,-0.06550945610652623,-0.06699183565087113,-0.0696848673226107,-0.06828013465917819,-0.07074562173696422,-0.07021660729182456,-0.07208156852824577,-0.07217633854470962,-0.07284026643152275,-0.06829404949845393,-0.06448080298805126,-0.06319780836292002,-0.06584577722182722,-0.06317399363799356,-0.05452412743772697,-0.04565523237847863,-0.03698275532826902,-0.03253241756551936,-0.028188139966603742,-0.022343273450338423,-0.017204824885657524,-0.012241523325707484,-0.008556827136031493,-0.0016335936137091545,0.004548412706317508,0.008211316543540825,0.013218244821799827,0.015148351277979139,0.01613992718582796,0.01819880548795299,0.017761867618165724,0.01819766577889505,0.01773291350815762,0.015753040265701714,0.016452826210556225,0.018124851203277895,0.02147187268217658,0.019028949093769492,0.015147708090963868,0.013545700345058972,0.010962997398960264,0.007181713158264198,0.0034468350134959328,0.0030989913403147774,0.0006779597429664297,-0.0015760007806750452,-0.002305217783153651,-0.004816706100432691,-0.007924101458259648
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
