,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
FR_Start,GMT,23:59:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:59:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.005872627445610892,0.00864306690380231,0.010562437789539086,0.011307270505744592,0.013007860029640888,0.015092818724967075,0.018739822016684015,0.018957972413590273,0.019630293814564683,0.01891161100464631,0.01983233856416694,0.019976896755549218,0.021355006670933964,0.024513328384977162,0.02896668347398611,0.03491617558732219,0.043088482303670794,0.05228953991514277,0.058806604083811866,0.065502715628827,0.07019575642155279,0.0725533286347054,0.07408435817267094,0.073402488270876,0.07108531614663507,0.0718157993758075,0.07020823516630512,0.07143570487722493,0.06991288857772518,0.06600408372663093,0.06410350123498869,0.06468086623276323,0.06236608352536764,0.06103654110455644,0.05869966698566247,0.058861963999929094,0.05840637370669898,0.059523172473708544,0.05940458162127771,0.05833129346280713,0.05682061980083082,0.05418252638341226,0.05069080004815869,0.04897764622494271
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.876220703125,998.876220703125,998.88818359375,998.8571166992188,998.8446044921875,998.8439331054688,998.8840942382812,998.8521118164062,998.8731079101562,998.8668823242188,998.871826171875,998.849609375,998.889404296875,998.8831787109375,998.8712158203125,998.8536376953125,998.8618774414062,998.8809814453125,998.8436279296875,998.8571166992188,998.8656005859375,998.8592529296875,998.872802734375,998.8690185546875,998.8536376953125,998.8878784179688,998.849609375,998.872802734375,998.8872680664062,998.8884887695312,998.8436279296875,998.8822631835938,998.8753051757812,998.8527221679688,998.8539428710938,998.8818359375,998.868408203125,998.8521118164062,998.8831787109375,998.8831787109375,998.8642578125,998.8439331054688,998.8589477539062,998.8677978515625
