,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146
FR_Start,GMT,23:43:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:44:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.04525687809080696,-0.043855347612609626,-0.044199909466058764,-0.04487299169157855,-0.04630317683879826,-0.04755468738314398,-0.04843529748937721,-0.050408891637693534,-0.05160154675074164,-0.05100894387341766,-0.0534203818532791,-0.050219580768785535,-0.05057453139112741,-0.05048789211408226,-0.04873400515024597,-0.04472696532271011,-0.04415620024870271,-0.04477536476366921,-0.0436200481082297,-0.04402001265507974,-0.04402001265507974,-0.04323350035085259,-0.04223156470155353,-0.041288188098086605,-0.04014271632893309,-0.03958641303232843,-0.03921209652256239,-0.038782206210260746,-0.03768087448682031,-0.036919582446840404,-0.03628997416361645,-0.03472033201609282,-0.03273086444001245,-0.031891137194892394,-0.030783101659995878,-0.03143099417647105,-0.032684102757914085,-0.03432842182065491,-0.03557243717379654,-0.037547858523229886,-0.039339093111235554,-0.04130529290051647,-0.04367555774483979,-0.04504951215266744,-0.04587153571338617,-0.04656010026007639,-0.04778159337336263,-0.05000867653818196,-0.05240209917057529,-0.054934593807719465,-0.05584305498114601,-0.055639777329117804,-0.054969133408767544,-0.055079486578570494,-0.05520055240241401,-0.0555257880902024,-0.05535238120426107,-0.05571714310216606,-0.05461217530961316,-0.053127834121259675,-0.05636275620052535,-0.05896885220975429,-0.05971144752124753,-0.06032160436247997,-0.060939180006909933,-0.0594815685098134,-0.06005758907867242,-0.05818162185826544,-0.05552273868098036,-0.05550601887410358,-0.05641575114395935,-0.05712983845140282,-0.05703102903715186,-0.05155633727293667,-0.045805398977302854,-0.039444508560294196,-0.031794488033467065,-0.025973544713097534,-0.023940535973275546,-0.02221203121626042,-0.021506869083503913,-0.018812052987931017,-0.013176054198014271,-0.009052604395634984,-0.005474932386435871,-0.003456749412867904,-0.0028776488795842162,-0.0021831833593869,-0.002271524370248284,-0.00028558007161442437,0.0034628157664092028,0.0053188312033816704,0.00521967002236048,0.0059622416535716856,0.007718903411746421,0.010961180892164168,0.013412523966654764,0.012591462894818746,0.008130615670125978,0.0068661015954228355,0.005794262899376813,0.004551168403654313,0.0033639906926168947,-0.0009572098030606489,-0.006051414338854538,-0.007098124818201224,-0.010735861480841855,-0.013786408120303649,-0.01477576113716145,-0.018398008603711054,-0.022563857569133816,-0.025123813694637828,-0.0274974457222905,-0.028646736891772228,-0.02864778799074255,-0.02835368499890948,-0.027379759303857387,-0.029384443370845358,-0.02961275490038479,-0.02696140358054694,-0.023739649265852803,-0.019773616048000753,-0.015792754390314453,-0.01086300702612782,-0.00419899486729108,0.0005031645050057982,0.003574004621003964,0.008592438460811671,0.009814285250568298,0.012662378464592715,0.013861497530756287,0.01584819222219838,0.017938123776751896,0.021047699248286197,0.021419898282510275,0.02105549082495575,0.020619681969905507,0.021812870271239432,0.022380987736939313,0.024252855976914057,0.02635010703025656,0.026233914761231842,0.026150049896585103,0.023920806478940137,0.02372085323295761,0.02101737473744033,0.01735158916266938
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
