,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
FR_Start,GMT,23:56:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:56:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.022257662355861626,0.022208981807038376,0.0208890856636961,0.020491285952952087,0.02326994552452988,0.024303235395003297,0.02110908006708082,0.020031506541441986,0.01778204627397973,0.0153475834211797,0.014420205521807587,0.012336482784427609,0.008906824760027743,0.005192539294069063,0.005712663703004771,0.007482445865186979,0.006914968530982104,0.0029445242876910025,-0.0007340949496077811,-0.003256423775353376,-0.004628567023545387,-0.003916703370973002,-0.006126221877562953,-0.007482536003034725,-0.010144250883723144,-0.008408474752363167,-0.007857538477099711,-0.007103018997781794,-0.008485233240759234,-0.008017863153036847,-0.008818815846024897,-0.010585145652250433,-0.010432748523634534,-0.011360079826322641,-0.00831158038543677,-0.006787429587462335,-0.009061937482277002,-0.012821042465267145,-0.01729204471155256,-0.016717831482928852,-0.015716352633909043,-0.017829571836143733,-0.021925252306496727,-0.02668495232927073,-0.034749121128006745,-0.041169047252008505,-0.04596509268830577
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8765258789062,998.8592529296875,998.8521118164062,998.8539428710938,998.864990234375,998.8844604492188,998.8627319335938,998.8681030273438,998.876220703125,998.8787231445312,998.8887939453125,998.8671875,998.8775634765625,998.8466796875,998.84521484375,998.8737182617188,998.875,998.88818359375,998.8637084960938,998.872802734375,998.8571166992188,998.8595581054688,998.8577270507812,998.8828735351562,998.8458251953125,998.857421875,998.8493041992188,998.8869018554688,998.8533325195312,998.8756103515625,998.8546142578125,998.8448486328125,998.8568725585938,998.8477172851562,998.849609375,998.8869018554688,998.8853759765625,998.8759765625,998.8461303710938,998.8595581054688,998.8812866210938,998.8677978515625,998.8850708007812,998.88818359375,998.8646850585938,998.876220703125,998.8592529296875
Yaw,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.0853018374,0.0853018374,0.0853018374,0.0853018374,0.0853018374,0.0853018374,0.0853018374,0.0853018374,0.0853018374,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0032808399,0.0032808399,0.0032808399,0.0032808399,0.0032808399,0.0032808399,0.0032808399,0.0032808399,-0.0295275591,-0.0295275591,-0.0295275591,-0.0295275591,-0.0295275591,-0.0295275591,-0.0295275591,-0.0295275591,-0.0524934384,-0.0524934384,-0.0524934384,-0.0524934384,-0.0524934384,-0.0524934384,-0.0524934384
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
