,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
FR_Start,GMT,23:50:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:50:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.018283764228853725,0.015365250439337874,0.012081178788888642,0.010834981794279535,0.012344905326031382,0.011690480107234839,0.01286473029398136,0.014847465031163163,0.017650794873340942,0.02040070047148783,0.02168009416598962,0.021082083017800887,0.020311189005395865,0.021104403593318957,0.022765799958807276,0.02111075601994484,0.016838548977462436,0.012863089479600359,0.010401793047854444,0.011806557030369645,0.014764894179347624,0.015416960536501463,0.014217260921488005,0.010750667004274135,0.006574336840470694,0.002536452872674313,4.677735357533056e-05,-0.00045285674841521545,-0.0011561658036174805,-0.001484641011279251,-0.0032140410357313115,-0.0024538495559559845,0.00019037213703169693,0.0013409005535072415,0.004367221882507287,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.0,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8803100585938,998.8699951171875,998.8565673828125,998.8458251953125,998.8709106445312,998.8583984375,998.876220703125,998.8471069335938,998.8646850585938,998.8737182617188,998.8539428710938,998.8568725585938,998.8624267578125,998.849609375,998.8658447265625,998.8800048828125,998.8524169921875,998.8511352539062,998.84521484375,998.8592529296875,998.8652954101562,998.8577270507812,998.8869018554688,998.8862915039062,998.8809814453125,998.8699951171875,998.889404296875,998.8828735351562,998.8856811523438,998.8884887695312,998.868408203125,998.8483276367188,998.8611450195312,998.84326171875,998.8878784179688,
Yaw,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,0.0688976379,0.0688976379,0.0688976379,0.0688976379,0.0688976379,0.0688976379,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.1213910763,0.1213910763,0.1213910763,0.1213910763,0.1213910763,0.1213910763,0.1213910763,0.1213910763,0.1213910763,0.1213910763,0.1279527561,0.1279527561,0.1279527561
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
