,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
FR_Start,GMT,23:04:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:04:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.008984663374836627,0.009581148290654203,0.011078827588833868,0.015551484399341467,0.016956548586722464,0.01767787594942809,0.019021009324367205,0.021902869092813276,0.022057617444271222,0.018681223249088462,0.014894750734986553,0.015363099353073026,0.018188373941776578,0.017717360910021143,0.018372910560274312,0.017166827963432343,0.018723528454883863,0.020668930845497598,0.025540025970484083,0.02897829139546361,0.0315278694463958,0.032563174432482384,0.035976160010569545,0.03851639733605906,0.04070757508227295,0.03994313280090234,0.039513914703058456,0.03988570735308761,0.03913093273782777,0.03727095199943455,0.03519651957141291,0.03434999073818838,0.032458006480565016,0.030229423055296765,0.026405699165913742,0.025942839789978973,0.028733840607897288,0.030171352892706636,0.02846555370676266,0.023830595298708044,0.023535341903496116,0.025802719741778078,0.027169405066901076,0.0286317190096817,0.03344463702886887,0.03663056995176477,0.03935121436011717,0.04117740104440637,0.04146208386726994,0.04189880326735843,0.04137296656329185,0.04319891491700057,0.04506657723333389,0.04508411591964104
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
G,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8699951171875,998.86083984375,998.8471069335938,998.8890991210938,998.875,998.857421875,998.8558349609375,998.8699951171875,998.8837890625,998.8828735351562,998.8646850585938,998.8517456054688,998.8853759765625,998.847412109375,998.8794555664062,998.8455200195312,998.8615112304688,998.8521118164062,998.846435546875,998.8592529296875,998.8589477539062,998.8605346679688,998.8715209960938,998.8505249023438,998.8589477539062,998.8778686523438,998.8589477539062,998.8668823242188,998.8837890625,998.8746948242188,998.8621826171875,998.882568359375,998.8677978515625,998.8656005859375,998.8471069335938,998.8511352539062,998.8618774414062,998.8837890625,998.8837890625,998.87255859375,998.8834228515625,998.8775634765625,998.8834228515625,998.8681030273438,998.8677978515625,998.8800048828125,998.8558349609375,998.8822631835938,998.864990234375,998.8844604492188,998.8611450195312,998.8471069335938,998.8602905273438,998.8850708007812
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,0.2460629925,0.2460629925,0.2460629925,0.2460629925,0.2460629925,0.2460629925,0.2559055122,0.2559055122,0.2559055122,0.2559055122,0.2559055122,0.2559055122,0.2559055122,0.2559055122,0.1476377955,0.1476377955,0.1476377955,0.1476377955,0.1476377955,0.1476377955,0.1476377955,0.1476377955,0.1476377955,0.0623359581,0.0623359581,0.0623359581,0.0623359581,0.0623359581,0.0623359581,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0688976379,0.0688976379,0.0688976379,0.0688976379,0.0688976379,0.0688976379,0.0688976379,0.0688976379,0.0688976379,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.02740217186510563,0.02740217186510563,0.02740217186510563,0.02740217186510563,0.02740217186510563,0.02740217186510563,0.027490338310599327,0.027490338310599327,0.027490338310599327,0.027490338310599327,0.027490338310599327,0.027490338310599327,0.027490338310599327,0.027490338310599327,0.02769286371767521,0.02769286371767521,0.02769286371767521,0.02769286371767521,0.02769286371767521,0.02769286371767521,0.02769286371767521,0.02769286371767521,0.02769286371767521,0.027521595358848572,0.027521595358848572,0.027521595358848572,0.027521595358848572,0.027521595358848572,0.027521595358848572,0.027606194838881493,0.027606194838881493,0.027606194838881493,0.027606194838881493,0.027606194838881493,0.027606194838881493,0.027606194838881493,0.027606194838881493,0.027701105922460556,0.027701105922460556,0.027701105922460556,0.027701105922460556,0.027701105922460556,0.027701105922460556,0.027701105922460556,0.027701105922460556,0.027701105922460556,0.027905559167265892,0.027905559167265892,0.027905559167265892,0.027905559167265892,0.027905559167265892,0.027905559167265892,0.027905559167265892,0.027905559167265892
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:04:04,23:04:04,23:04:04,23:04:04,23:04:05,23:04:05,23:04:05,23:04:05,23:04:06,23:04:06,23:04:06,23:04:06,23:04:07,23:04:07,23:04:07,23:04:07,23:04:08,23:04:08,23:04:08,23:04:08,23:04:09,23:04:09,23:04:09,23:04:09,23:04:10,23:04:10,23:04:10,23:04:10,23:04:11,23:04:11,23:04:11,23:04:11,23:04:12,23:04:12,23:04:12,23:04:12,23:04:13,23:04:13,23:04:13,23:04:13,23:04:14,23:04:14,23:04:14,23:04:14,23:04:15,23:04:15,23:04:15,23:04:15,23:04:16,23:04:16,23:04:16,23:04:16,23:04:17,23:04:17
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
