,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
FR_Start,GMT,00:01:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,00:01:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.0031235439733846523,0.0007672736983189214,-0.001373148609843405,-0.0023921547824543843,-0.002510610810053634,-0.003299133837583568,-0.00430281036955223,-0.005029643397830974,-0.004534077351065632,-0.0032427083087747683,-0.0020346138428099163,-0.0006883709030935891,0.0009410183147342702,0.00235530998233821,0.0037725294112637407,0.005430179326970119,0.0066109037792129914,0.006523895548096136,0.0058583936864077465,0.005312428360671457,0.005557410426823434,0.00559163378152434,0.004760944001460902,0.0035879347378810172,0.0017916778294137623,0.00031395625861036755,-0.0002045692538629439,-0.0013624434036334774,-0.002099111674212391,-0.0038080884102594226,-0.005464966425159469,-0.006000457427435671,-0.0062057490492569405,-0.005816352401175024,-0.006365241477862559,-0.006664660311072436,-0.007339363490091521,-0.007879034062146885,-0.008787299682276626,-0.008551506711374293,-0.008001161679281645,-0.00794091904178483,-0.008625640507864813,-0.009133586376913987,-0.009123557395532169,-0.009332384636237263,-0.008822628371432517,-0.008182647360797204,-0.00829652583710309,-0.01060238642533198,-0.011090371344385855,-0.008534314062736883,-0.007586273971469212,-0.004342019569441583,0.0018101297343393846,0.007454610839475039,0.008975648062301916,0.012237710800299863,0.017961335036426503,0.022511469146471938,0.02558405143418731,0.02510592820678088,0.02486858150382503,0.025413102714297222,0.023245783998053614,0.02113322326043551,0.02161313091167528,0.02450197254392132,0.02554665644945386,0.026533679632111454,0.02614364552611476,0.025521067995014975,0.028333928004891706,0.03202882199344402,0.035240060735154524,0.03672102862913813,0.03705656447573165,0.03967240759459818,0.039005641129461116,0.03650333503251113,0.03668002660273472,0.03552188359105233
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.87255859375,998.8642578125,998.8466796875,998.8775634765625,998.876220703125,998.8693237304688,998.8446044921875,998.849609375,998.855224609375,998.8536376953125,998.843017578125,998.8565673828125,998.854248046875,998.8502197265625,998.846435546875,998.8840942382812,998.8712158203125,998.8734130859375,998.8477172851562,998.858642578125,998.8768310546875,998.876220703125,998.8869018554688,998.8693237304688,998.8480224609375,998.8850708007812,998.8592529296875,998.88818359375,998.8790893554688,998.849609375,998.8699951171875,998.8446044921875,998.8840942382812,998.8652954101562,998.8740234375,998.864990234375,998.8831787109375,998.8471069335938,998.8546142578125,998.8671875,998.8794555664062,998.8790893554688,998.8480224609375,998.8765258789062,998.8555297851562,998.8466796875,998.8775634765625,998.8778686523438,998.8794555664062,998.8759765625,998.8502197265625,998.8765258789062,998.8511352539062,998.8652954101562,998.8658447265625,998.8759765625,998.8592529296875,998.8458251953125,998.8890991210938,998.8471069335938,998.8790893554688,998.868408203125,998.8565673828125,998.8696899414062,998.8812866210938,998.864013671875,998.8642578125,998.8856811523438,998.8458251953125,998.8794555664062,998.8712158203125,998.8502197265625,998.8687133789062,998.8558349609375,998.8690185546875,998.8712158203125,998.8471069335938,998.8656005859375,998.8887939453125,998.8458251953125,998.8734130859375,998.8511352539062
Yaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,-0.0360892389,-0.1049868768,-0.1017060369,-0.098425197,-0.098425197,-0.0853018374,-0.0853018374,-0.0853018374,-0.0393700788,-0.0393700788,-0.0393700788,-0.022965879300000002,-0.022965879300000002,-0.022965879300000002,-0.022965879300000002,-0.0032808399,-0.0032808399,-0.0032808399,0.0,0.0,0.0,0.0,0.0131233596,0.0131233596,0.0131233596,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0853018374,0.0853018374,0.0853018374,0.098425197,0.098425197,0.098425197,0.098425197,0.1181102364,0.1181102364,0.1181102364,0.1541994753,0.1541994753,0.1541994753,0.18700787430000002,0.18700787430000002,0.18700787430000002,0.18700787430000002,0.2132545935,0.2132545935,0.2132545935,0.21981627330000003,0.21981627330000003,0.21981627330000003,0.21981627330000003,0.22309711320000003,0.22309711320000003,0.22309711320000003,0.2329396329,0.2329396329,0.2329396329,0.2329396329,0.22637795310000003,0.22637795310000003,0.22637795310000003,0.21981627330000003,0.21981627330000003,0.21981627330000003,0.21981627330000003,0.22637795310000003,0.22637795310000003,0.22637795310000003,0.2493438324,0.2493438324,0.2493438324,0.2493438324,0.2657480319,0.2657480319,0.2657480319,0.2788713915,0.2788713915,0.2788713915,0.2788713915,0.2854330713
