,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
FR_Start,GMT,23:46:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:46:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.004887872986748256,-0.006479750155222602,-0.006657666989071481,-0.00795428006801298,-0.009815780927736825,-0.011804072892396177,-0.0151933208974435,-0.01700471122486121,-0.01900976195428069,-0.02092736827706583,-0.019248857942586857,-0.015421791314036586,-0.014815174293028331,-0.017177138816558385,-0.017520357768852125,-0.01538809045330058,-0.012603655948426528,-0.010666742556982278,-0.011943740723598214,-0.015643570141254646,-0.020144270516732104,-0.022115333166510893,-0.023050765417295137,-0.023750559000950307,-0.02765870080414759,-0.027519763242288307,-0.032228518575724494,-0.03922683635230903,-0.04295368191624703,-0.048337746949474424,-0.05021314889863283,-0.05126301954981107,-0.05234719147145692,-0.05483451329703927,-0.05727958338843082,-0.06181007661422845,-0.06643982536023539,-0.07074292676809263,-0.07118334945873935,-0.07032797489435468,-0.0714621656826988,-0.07137280393709969,-0.06955487326855996,-0.06842352411406004,-0.06958740844831579,-0.0688739750222085,-0.0655903296168359,-0.06321042155056392,-0.062108442056827806,-0.06320992655628138,-0.06389169868142791,-0.06015149132738169,-0.05406510885076225,-0.04842561454566512,-0.045255625327499306,-0.04218125556043033,-0.039473905720740374,-0.0355067190439892,-0.02815549173259819,-0.02225086229551728,-0.01837382263307269,-0.014660403025168413,-0.011005032955092494,-0.006790014557604469,-0.003297352851210523,-0.0007029127446757091,0.0014720473025770394,0.0036128261517600043,0.005226996778010088,0.00702855291346272,0.012504675425040862,0.018506137354762853,0.021709505076276978,0.02158821008841377,0.02431350499860579,0.028151782330999433,0.033972676763044767,0.03607937548503913,0.03831524021509308,0.04047380028250404,0.04238201851928244,0.04425755185581213,0.044950705793936736,0.045647486634613016,0.04613587182682129,0.04686705171461357,0.04786613350798739,0.048238775592649545,0.04939767637335705,0.050640753681778075,0.05209821545838174,0.052764416652270225,0.053214519231108766,0.05428927403930538,0.05561686703818906,0.05609456707603913,0.05594682044926286,0.052812479986000437,0.050357641396329464,0.047392014539885056,0.04596493074573185
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.85498046875,998.854248046875,998.8527221679688,998.8699951171875,998.8555297851562,998.8734130859375,998.8815307617188,998.8837890625,998.86083984375,998.8589477539062,998.8486328125,998.8778686523438,998.8850708007812,998.8461303710938,998.8668823242188,998.84521484375,998.8514404296875,998.8771362304688,998.876220703125,998.8771362304688,998.87255859375,998.8577270507812,998.8853759765625,998.8837890625,998.8778686523438,998.8794555664062,998.8527221679688,998.8446044921875,998.8806762695312,998.8546142578125,998.87255859375,998.8595581054688,998.8897705078125,998.8514404296875,998.87060546875,998.8828735351562,998.8693237304688,998.847412109375,998.8605346679688,998.8743286132812,998.8536376953125,998.8634033203125,998.8781127929688,998.8840942382812,998.8480224609375,998.8524169921875,998.8458251953125,998.8658447265625,998.8856811523438,998.8703002929688,998.875,998.8577270507812,998.875,998.8884887695312,998.87060546875,998.8677978515625,998.8709106445312,998.8546142578125,998.8822631835938,998.8800048828125,998.8844604492188,998.8778686523438,998.8759765625,998.8740234375,998.86083984375,998.8850708007812,998.8577270507812,998.8618774414062,998.8514404296875,998.8442993164062,998.8568725585938,998.8658447265625,998.8806762695312,998.8533325195312,998.8853759765625,998.8458251953125,998.85498046875,998.858642578125,998.8731079101562,998.8505249023438,998.885986328125,998.8668823242188,998.8746948242188,998.8652954101562,998.8565673828125,998.8787231445312,998.8555297851562,998.85498046875,998.857421875,998.8696899414062,998.8803100585938,998.8493041992188,998.8477172851562,998.8887939453125,998.843017578125,998.8803100585938,998.889404296875,998.8887939453125,998.8865966796875,998.8436279296875,998.858642578125
Yaw,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
