,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
FR_Start,GMT,23:56:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:57:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.002267554867487174,-0.002817098780360981,-0.002635122687843279,-0.0025093276825133713,-0.0025720338332218817,-0.0033080532831700404,-0.004248971720585728,-0.005082750249694591,-0.005390501104720461,-0.005706324644280039,-0.004980694727104681,-0.007475411293662479,-0.008665777822033921,-0.009847160356953344,-0.009501804068235937,-0.01162698104901819,-0.012244012810841413,-0.011760668463186314,-0.011652918596647075,-0.01053196355820035,-0.009883805975342403,-0.007924341316600261,-0.004850727790796268,-0.004144443136283302,-0.005873885938019038,-0.006155799313704623,-0.0036613061820660255,-0.0025374550833204353,-0.0017525305038097257,0.0006319041247612448,0.0026324353577723493,0.005120153637108766,0.005941009225207125,0.006939223250826378,0.01015065678195362,0.013344048229810456,0.01480452733267341,0.013714239787222027,0.01280706727946622,0.014400130753682508,0.019351188843940433,0.02569149880422056,0.0306119680811299,0.03338363051130641,0.030937536820626912,0.027797803364101054,0.022833058070826952,0.01938756786818658,0.01478880668092249,0.01270094371358673,0.014163732789768187,0.0152242427625007,0.010788425595918834,0.0038768910877718245,-0.0027084597574253337,-0.0032522476430345095,-0.005463791577618511,-0.00700663948601964,-0.009210446461358783,-0.012713746343486897,-0.014506913548058645,-0.016503127712878773,-0.015957210129646585,-0.017471108893260034,-0.015001521307281638,-0.013534147422946199,-0.01279933986872218,-0.009929456211945253,-0.008991060870386381,-0.010123746051121109,-0.011635339424696448,-0.010878512263700226,-0.012641034891678603,-0.014708301360804449,-0.015535284030909325,-0.012933836995759887,-0.011854298006712156,-0.01318752920436035,-0.013371693049386051,-0.015500108881646628,-0.013684853321096768,-0.013115365454559122,-0.011434405356709636,-0.009720844385418669,-0.010157634826353262,-0.012224368871073355,-0.011972891914663254,-0.012057464896130842,-0.008886964642201109,-0.005077429061157326,-0.004195840806500043,-0.0041925668165387,-0.0032537792225661223,-0.0013004510033613012,-8.101695266325769e-05,-0.0010718118647587167,-0.0007932757460708483,8.151807850067627e-07,0.0024114906875859713,0.00816081184912082,0.015984266761571636,0.02250685683863559,0.027002940322996303,0.031069565851172525,0.03196399913107362,0.03195021567916917,0.03371493446233627,0.03414446116772667,0.031696216390782316,0.03117156522857761,0.03172552494114088,0.03374958711763406,0.03759710434330171,0.04151401548965257,0.042142694894716705,0.04138863221567804,0.039606362524122744,0.03903257554057567,0.036881061502890194,0.03451130998597099,0.03374724047807241,0.03564947295065644,0.04146671909150826,0.04723320998527855,0.05139957075034529,0.056946678344783376,0.062081846808462404,0.06588861561590843,0.07147706439949908,0.07644778476264663,0.08256623186890148,0.08440587506442704,0.0844500823315859,0.08294008088406735,0.07799212414687592,0.07814715513395816,0.07583438906993586,0.0726098985368466,0.06826847479385623,0.06941172214425859,0.07050076456520298,0.07147209001251162,0.07181971655278412,0.07206190319983587,0.07256415739851595,0.07326610206843596,0.07371402300580703,0.07265009696142097,0.07135836354833879,0.06762138282368985,0.06047481425948572,0.048654414958446565,0.04059993521446316,0.033352137263960115,0.026176877364490463,0.019956447686191973,0.014756664135520394,0.00912508210014319,0.0033260942206203474,-0.0001353057418296914,-0.0035969756403979266,-0.00630777478052429,-0.009108792357743369,-0.013928237732091453,-0.015727083621071187,-0.021034254959130895,-0.024277248195170145,-0.026196383805846702,-0.02491231974862358,-0.023018485373481223,-0.021549079568171176,-0.021872411666835984,-0.02493223257417474,-0.029859298719330973,-0.03566288362908885,-0.04061485531990528,-0.04620387243026477,-0.05118562933260072,-0.05151780716242567,-0.05294912896318305,-0.05556125045836978,-0.05430261444077175,-0.05428478853555992,-0.05453512119963169,-0.051370396642878284,-0.047406189098383116,-0.044086250223331715,-0.042562492823591085,-0.0448015933496031,-0.04612468556714002,-0.04689231170062423,-0.04650382674340066,-0.04418776682853531,-0.04167429280502564,-0.03780489805427799,-0.03613305180949168,-0.0369280645710893,-0.03827117044634605,-0.039942634751099534,-0.04054650333163161
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
