,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
FR_Start,GMT,23:58:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:58:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.03915615911311554,-0.037292973133966886,-0.03528948071988132,-0.03384635849986989,-0.030454165737169518,-0.029572367033554148,-0.03017708504871922,-0.03166357121229703,-0.034096590331772994,-0.03494179306920357,-0.03396295104204901,-0.03361504644943262,-0.034186123186506795,-0.03672154806758277,-0.037712300512720835,-0.04072880789257754,-0.043361590815779755,-0.0484080330820743,-0.05357587116840072,-0.053975038224462236,-0.05090598811817039,-0.04773800637681708,-0.044289427043191255,-0.04358776348113539,-0.04429353671794441,-0.046962344225042314,-0.04776869296681406,-0.046360513676525376,-0.04403216751468424,-0.042975748883583305,-0.040848957060342285,-0.034175358588621765,-0.025681809749467953,-0.019247547124394217,-0.015270785974900286,-0.014415050859124633,-0.012166059614022682,-0.008543597497174633,-0.005346616958829376,-0.0005872596317498217,0.0042232415663946655,0.008369225066830334,0.010419072014939273,0.01403608995855949,0.015189558024240147,0.01734802184276283,0.021385694788691078,0.022788704138695496,0.020951123419347174,0.02078308661026731,0.022268122929480532,0.01929839556484376,0.014965435612980697,0.012796271362498496,0.013418683895504102,0.013734635384974676,0.012879962062490266,0.013964884114360577,0.01581470219236049,0.016142759653111363,0.01653160668948605
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.864990234375,998.8527221679688,998.871826171875,998.8517456054688,998.8803100585938,998.8818359375,998.855224609375,998.8592529296875,998.8458251953125,998.8446044921875,998.8778686523438,998.864990234375,998.8815307617188,998.87060546875,998.8768310546875,998.8502197265625,998.8853759765625,998.8897705078125,998.846435546875,998.8521118164062,998.8809814453125,998.8687133789062,998.8872680664062,998.8872680664062,998.884765625,998.8539428710938,998.8693237304688,998.8844604492188,998.8577270507812,998.8828735351562,998.84521484375,998.8630981445312,998.8709106445312,998.8781127929688,998.876220703125,998.8483276367188,998.8822631835938,998.8834228515625,998.849609375,998.8461303710938,998.8721923828125,998.8834228515625,998.864990234375,998.88818359375,998.8599853515625,998.846435546875,998.8797607421875,998.8840942382812,998.8674926757812,998.8693237304688,998.8856811523438,998.87841796875,998.87060546875,998.8624267578125,998.8615112304688,998.8668823242188,998.8539428710938,998.8734130859375,998.87060546875,998.8693237304688,998.8592529296875
Yaw,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
