,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
FR_Start,GMT,21:36:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,21:37:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.06832791688504425,0.06729534047855214,0.0649259984013481,0.061213956833082256,0.05985427476040107,0.057530221604528836,0.05439780000799131,0.05317601967580039,0.051674005358248204,0.04784769955424331,0.044297133065293454,0.043806829006360286,0.04064118779352811,0.03768904189248216,0.03674498696351694,0.03562331769720884,0.03214919115866768,0.03101021542559238,0.02813792249108842,0.023668672585673584,0.016604844454659567,0.012377249535770808,0.007379615386270476,0.002518505128592014,5.4017450612179346e-05,-0.001494653760209674,-0.0027912137494866098,-0.0062175387741900635,-0.0091856516783081,-0.01006055025329052,-0.01195922151700852,-0.01391883742400366,-0.015123491565122875,-0.017980922449069705,-0.017517563495572007,-0.016243423768161704,-0.015087940586867882,-0.017115133143870066,-0.01763113565597157,-0.019304262163747893,-0.01996071013695826,-0.019533377295116384,-0.022359298126355467,-0.029141841173037888,-0.036961608072531786,-0.04144264464735948,-0.043240821377401706,-0.045991797935400626,-0.047136316382232216,-0.04798814043207178,-0.04903426195988786,-0.05031444856189778,-0.05546168938613422,-0.058491555500578885,-0.06011429342370518,-0.06119710258331392,-0.06206392312660217,-0.06184790395507906,-0.06302038652335368,-0.062243960491513275,-0.061019051306573494,-0.057980599180191016,-0.054689828301566094,-0.051613444946644084,-0.051715291548036044,-0.05104085267151967,-0.04605419165916229,-0.03978075023206836,-0.03318111368382359,-0.028436434598660378,-0.025060222206933238,-0.02443147710818346,-0.02149512213585447,-0.0173752113898193
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8709106445312,998.8624267578125,998.8624267578125,998.8599853515625,998.8746948242188,998.8822631835938,998.8448486328125,998.8589477539062,998.8781127929688,998.8746948242188,998.8446044921875,998.8737182617188,998.8668823242188,998.8483276367188,998.8703002929688,998.8897705078125,998.8439331054688,998.8721923828125,998.8480224609375,998.8875732421875,998.8592529296875,998.8668823242188,998.8558349609375,998.8662109375,998.86083984375,998.8580932617188,998.85498046875,998.8850708007812,998.8539428710938,998.8668823242188,998.8583984375,998.8627319335938,998.87255859375,998.85302734375,998.8658447265625,998.8561401367188,998.8731079101562,998.8837890625,998.8840942382812,998.8461303710938,998.8483276367188,998.8696899414062,998.85498046875,998.86083984375,998.8448486328125,998.8646850585938,998.8794555664062,998.8615112304688,998.855224609375,998.8427124023438,998.86083984375,998.87841796875,998.8571166992188,998.850830078125,998.8555297851562,998.85498046875,998.8853759765625,998.8844604492188,998.8800048828125,998.8499145507812,998.8533325195312,998.8514404296875,998.8511352539062,998.8533325195312,998.8630981445312,998.864990234375,998.8466796875,998.8466796875,998.8746948242188,998.8624267578125,998.8815307617188,998.8781127929688,998.871826171875,998.8555297851562
Yaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,0.3051181107,-0.0853018374,-0.0853018374,-0.10826771670000002,-0.10826771670000002,-0.11482939650000001,-0.11482939650000001,-0.11482939650000001,-0.1213910763,-0.1213910763,-0.1246719162,-0.1246719162,-0.1246719162,-0.1410761157,-0.1410761157,-0.1541994753,-0.1541994753,-0.1541994753,-0.16076115510000002,-0.16076115510000002,-0.1706036748,-0.1706036748,-0.1706036748,-0.18044619450000002,-0.18044619450000002,-0.19028871420000001,-0.19028871420000001,-0.19028871420000001,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2066929137,-0.2001312339,-0.2001312339,-0.196850394,-0.196850394,-0.196850394,-0.2099737536,-0.2099737536,-0.2132545935,-0.2132545935,-0.2132545935,-0.22637795310000003,-0.22637795310000003,-0.1345144359,-0.1345144359,-0.1345144359,-0.0426509187,-0.0426509187,-0.0360892389,-0.0360892389,-0.0360892389,-0.0688976379,-0.0688976379,-0.11482939650000001,-0.11482939650000001,-0.11482939650000001,-0.1541994753,-0.1541994753,-0.17716535460000002,-0.17716535460000002,-0.17716535460000002,-0.2066929137,-0.2066929137,-0.22637795310000003,-0.22637795310000003,-0.22637795310000003,-0.2460629925,-0.2460629925,-0.2657480319,-0.2657480319,-0.2657480319,-0.2887139112
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027148162946105003,0.027689479291439056,0.027689479291439056,0.02784501388669014,0.02784501388669014,0.028018739074468613,0.028018739074468613,0.028018739074468613,0.027757346630096436,0.027757346630096436,0.0277110505849123,0.0277110505849123,0.0277110505849123,0.02772010676562786,0.02772010676562786,0.027834871783852577,0.027834871783852577,0.027834871783852577,0.027675854042172432,0.027675854042172432,0.02771199308335781,0.02771199308335781,0.02771199308335781,0.02779974974691868,0.02779974974691868,0.028002619743347168,0.028002619743347168,0.028002619743347168,0.027645723894238472,0.027645723894238472,0.027643034234642982,0.027643034234642982,0.027643034234642982,0.02762281894683838,0.02762281894683838,0.027824215590953827,0.027824215590953827,0.027824215590953827,0.02764791250228882,0.02764791250228882,0.027645206078886986,0.027645206078886986,0.027645206078886986,0.02780812978744507,0.02780812978744507,0.028093431144952774,0.028093431144952774,0.028093431144952774,0.027813469991087914,0.027813469991087914,0.027718784287571907,0.027718784287571907,0.027718784287571907,0.02780933491885662,0.02780933491885662,0.027752002701163292,0.027752002701163292,0.027752002701163292,0.027768921107053757,0.027768921107053757,0.027870789170265198,0.027870789170265198,0.027870789170265198,0.027979498729109764,0.027979498729109764,0.028156418353319168,0.028156418353319168,0.028156418353319168,0.027802491560578346,0.027802491560578346,0.02776215225458145,0.02776215225458145,0.02776215225458145,0.02797824516892433
