,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
FR_Start,GMT,23:08:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:08:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.050482868838770595,0.05034548042568444,0.048798663014522195,0.04666849484139104,0.0459663393405729,0.04394624322938053,0.04254312388064666,0.04359671921102498,0.045949054262447546,0.046998255754688294,0.04569767049940545,0.04158491578182522,0.03725331859199926,0.03532255978224389,0.03642284346223427,0.03417635774374763,0.03369804965736531,0.034041401524790474,0.035547571349899755,0.03273341885495195,0.02863096124065658,0.027714231829399524,0.027627296166888905,0.026985643022789902,0.02657763329108851,0.02634782455662042,0.02698004225414861,0.02666233536828719,0.0251379790865751,0.0230546703721907,0.021573983586071245,0.02034315127510247,0.01949309178821454,0.019426152978062303,0.01867963896183232,0.01754583775232169,0.016972331876638765,0.016693420931551187,0.01659228473862028,0.016162266094467602,0.015029890285159463,0.013694863205476944,0.012402941114018556,0.011613137250588556,0.010286889444500465,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8439331054688,998.8787231445312,998.87841796875,998.876220703125,998.858642578125,998.8781127929688,998.8878784179688,998.85498046875,998.85302734375,998.8731079101562,998.8731079101562,998.8797607421875,998.8856811523438,998.85498046875,998.8580932617188,998.8771362304688,998.8561401367188,998.8514404296875,998.8446044921875,998.87255859375,998.8797607421875,998.8577270507812,998.8634033203125,998.8771362304688,998.855224609375,998.854248046875,998.8489379882812,998.8853759765625,998.8869018554688,998.876220703125,998.8521118164062,998.8743286132812,998.8561401367188,998.8455200195312,998.8900756835938,998.8605346679688,998.8589477539062,998.8583984375,998.8599853515625,998.8709106445312,998.885986328125,998.8595581054688,998.8765258789062,998.8499145507812,998.8803100585938,998.8840942382812
Yaw,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
