,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
FR_Start,GMT,17:51:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,17:52:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.0396052319816256,0.03713460857427819,0.0370637846701121,0.03603137326171417,0.03632613624592396,0.03694417327391356,0.036533486906462166,0.036811013700870795,0.03878403952241829,0.03829553822044004,0.03531365294067851,0.03210289086012896,0.03521764849402858,0.03900447697624108,0.0399620006385237,0.040816513546194325,0.04383745448595202,0.04487184892700035,0.043478727240565604,0.04243475985453464,0.044791999015978634,0.0447735772843156,0.04300861711504776,0.0422418037499534,0.04136704802054325,0.04091688738681972,0.03934604136431264,0.0382424974442021,0.03877435046766568,0.04113154379630573,0.041497035963553475,0.041520239584427424,0.04246253758924166,0.04409930340589341,0.04608563296266412,0.04580518203536421,0.04482116090136459,0.04305508852272118,0.043495300382469786,0.043392885454308985,0.04027748921667449,0.03434671827598717,0.028220739312285092,0.0252398669374906,0.025586289602779644,0.02389551288220659,0.022515745347079404,0.020775675445870452,0.021258510285521764,0.02370929572756444,0.02557322725365716,0.024695292255413812,0.022963215595211743,0.020216270796199285,0.017806505713681597,0.01463394680297496,0.010882239234540495,0.007936948393203622,0.006127403600024502,0.0034656925387364116,0.0006844861910197651,-0.002566937989303982,-0.006158557684621657,-0.008908917027527536,-0.011303867420052155,-0.013718283768289537,-0.01702338198142564,-0.020502776236899476,-0.023015538324187977,-0.024765106310133126,-0.025842187897009684,-0.02706134048177479,-0.02901658623091439,-0.029800889393991697,-0.03081900707860133,-0.03296717532159928,-0.035402464692630344,-0.03833728273826726,-0.04155859858580371,-0.04378071347467611,-0.04639535577407945,-0.04846107385831224,-0.04963187283492219,-0.050221887686583776,-0.05043656548471162,-0.05076954386084536,-0.05051428875363059,-0.050794855790700484,-0.05050867881842852,-0.05003416874373257,-0.04930368857008042,-0.04901085056363605,-0.04992896718109232,-0.05097035265250141,-0.0520556398390431,-0.053598353686492704,-0.05435387995973714,-0.05474553043595273,-0.05444767220971696,-0.054227289755258895,-0.05335465761243124,-0.05198945727015585,-0.050850417371155046,-0.049183906064747186,-0.04762038717982974,-0.045995730389978555,-0.04446213421499245,-0.04364977220934397,-0.0432964776789844,-0.042663245548729044,-0.041663968202058414,-0.04091845181319416
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8681030273438,998.8533325195312,998.8668823242188,998.8602905273438,998.8850708007812,998.8658447265625,998.8511352539062,998.8662109375,998.8656005859375,998.8765258789062,998.8803100585938,998.8436279296875,998.84326171875,998.8681030273438,998.876220703125,998.847412109375,998.875,998.8634033203125,998.8565673828125,998.8458251953125,998.8775634765625,998.8699951171875,998.8759765625,998.8703002929688,998.8621826171875,998.8797607421875,998.858642578125,998.8646850585938,998.8615112304688,998.8521118164062,998.8753051757812,998.8693237304688,998.8753051757812,998.8458251953125,998.8493041992188,998.8677978515625,998.8599853515625,998.8568725585938,998.8611450195312,998.8687133789062,998.8875732421875,998.8781127929688,998.8834228515625,998.8521118164062,998.8806762695312,998.847412109375,998.85498046875,998.8499145507812,998.8483276367188,998.847412109375,998.8624267578125,998.8624267578125,998.871826171875,998.8558349609375,998.876220703125,998.8787231445312,998.8489379882812,998.843017578125,998.8806762695312,998.8662109375,998.8787231445312,998.8790893554688,998.8527221679688,998.8627319335938,998.871826171875,998.8834228515625,998.8790893554688,998.8511352539062,998.8599853515625,998.8489379882812,998.872802734375,998.8734130859375,998.8458251953125,998.8721923828125,998.8884887695312,998.8787231445312,998.8865966796875,998.8837890625,998.8630981445312,998.8822631835938,998.8712158203125,998.8514404296875,998.8696899414062,998.8539428710938,998.8740234375,998.8480224609375,998.8831787109375,998.846435546875,998.8662109375,998.8483276367188,998.8790893554688,998.8781127929688,998.8815307617188,998.8656005859375,998.8890991210938,998.8571166992188,998.8674926757812,998.8521118164062,998.8721923828125,998.8427124023438,998.8580932617188,998.8637084960938,998.84521484375,998.8602905273438,998.8568725585938,998.8524169921875,998.8740234375,998.8524169921875,998.8505249023438,998.8446044921875,998.8533325195312,998.8577270507812
Yaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.0,359.0,359.0,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,,,,,,,,,,,
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,
Altitude,0.2690288718,0.18372703440000002,0.18372703440000002,0.196850394,0.196850394,0.2034120738,0.2034120738,0.22309711320000003,0.22309711320000003,0.22309711320000003,0.2395013127,0.2395013127,0.2427821526,0.2427821526,0.2427821526,0.22309711320000003,0.22309711320000003,0.2034120738,0.2034120738,0.2034120738,0.196850394,0.196850394,0.2132545935,0.2132545935,0.2132545935,0.2132545935,0.2132545935,0.21653543340000003,0.21653543340000003,0.21653543340000003,0.21981627330000003,0.21981627330000003,0.2329396329,0.2329396329,0.2329396329,0.1377952758,0.1377952758,0.05577427830000001,0.0393700788,0.0196850394,0.0,-0.0164041995,-0.0360892389,-0.05577427830000001,-0.0721784778,-0.08202099750000001,-0.09514435710000001,-0.10826771670000002,-0.1246719162,-0.1443569556,-0.16076115510000002,-0.1738845147,-0.18700787430000002,-0.2066929137,-0.22637795310000003,-0.2395013127,-0.2493438324,-0.2591863521,-0.2657480319,-0.2788713915,-0.2854330713,-0.2919947511,-0.3051181107,-0.32480315010000005,-0.3444881895,-0.36417322890000003,-0.3838582683,-0.4002624678,-0.4166666673,-0.426509187,-0.43635170670000006,-0.44291338650000006,-0.44947506630000006,-0.45275590620000006,-0.45931758600000006,-0.4625984259,-0.4658792658,-0.4658792658,-0.4691601057,-0.4757217855,-0.4855643052,-0.4954068249,-0.5118110244,-0.5216535441,-0.5282152239000001,-0.5314960638,-0.5347769037000001,-0.5347769037000001,-0.5314960638,-0.5314960638,-0.524934384,-0.5216535441,-0.5150918643,-0.5118110244,-0.4002624678,-0.2657480319,-0.17716535460000002,-0.17716535460000002,-0.09514435710000001,-0.09514435710000001,-0.032808399,,,,,,,,,,,
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,,,,,,,,,,,
GS,0.021680420264601707,0.0227058045566082,0.0227058045566082,0.022889044135808945,0.022889044135808945,0.023245330899953842,0.023245330899953842,0.023200273513793945,0.023200273513793945,0.023200273513793945,0.023261072114109993,0.023261072114109993,0.02351428009569645,0.02351428009569645,0.02351428009569645,0.02374601736664772,0.02374601736664772,0.02366247959434986,0.02366247959434986,0.02366247959434986,0.023776816204190254,0.023776816204190254,0.02395230531692505,0.02395230531692505,0.02395230531692505,0.0242154598236084,0.0242154598236084,0.0241154246032238,0.0241154246032238,0.0241154246032238,0.02412222884595394,0.02412222884595394,0.02421148493885994,0.02421148493885994,0.02421148493885994,0.024475019425153732,0.024475019425153732,0.02428576350212097,0.02426375262439251,0.024486185982823372,0.024281226098537445,0.024236679077148438,0.024167591705918312,0.024229997768998146,0.024193599820137024,0.0244580190628767,0.02438201755285263,0.02459651045501232,0.024488577619194984,0.0246365275233984,0.024536754935979843,0.024675363674759865,0.024560265243053436,0.024725409224629402,0.024616878479719162,0.024734368547797203,0.024616511538624763,0.024768248200416565,0.024657761678099632,0.02478552795946598,0.02465060167014599,0.024624215438961983,0.024559471756219864,0.02457953616976738,0.0245615616440773,0.024824464693665504,0.02475559152662754,0.024942582473158836,0.024812711402773857,0.025005264207720757,0.02489614486694336,0.025077270343899727,0.024921631440520287,0.025076324120163918,0.024959051981568336,0.025154592469334602,0.025042543187737465,0.02524101920425892,0.02509777992963791,0.025288525968790054,0.02511516772210598,0.02528431825339794,0.025139309465885162,0.025095924735069275,0.025010395795106888,0.02503841556608677,0.02499287575483322,0.025231774896383286,0.025161365047097206,0.025379473343491554,0.025310080498456955,0.02550603076815605,0.02536121942102909,0.0255343709141016,0.025340145453810692,0.02555648796260357,0.025468993932008743,0.025468993932008743,0.025487933307886124,0.025487933307886124,0.02552068419754505,,,,,,,,,,,
