,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
FR_Start,GMT,22:33:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:33:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.01844649054371724,-0.014238399010664458,-0.014003573111925228,-0.012213405664371258,-0.010727050124284671,-0.009910648720849072,-0.008097807785186708,-0.0062314906616489875,-0.0037085941775296116,0.0007614904100844477,0.0032712877356106764,0.005444803046946775,0.005084419709578052,0.005110566942284955,0.004405681716052245,0.004926722399126692,0.008066008221934083,0.013491781106745546,0.016518475591157655,0.019236845164674568,0.019472625913495852,0.02176069573499593,0.02368919651527726,0.025597312392126863,0.02738535396145815,0.02968889540980775,0.030611946692488064,0.03142647811752297,0.030251679464889318,0.030945453673627228,0.0303023002690793,0.03192938314201897,0.03202961337319203,0.029878664606755135,0.030630429534556344
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8458251953125,998.8775634765625,998.8806762695312,998.8840942382812,998.8671875,998.8837890625,998.8850708007812,998.8605346679688,998.8514404296875,998.87841796875,998.8837890625,998.8809814453125,998.8759765625,998.8844604492188,998.8561401367188,998.871826171875,998.8546142578125,998.8794555664062,998.8605346679688,998.8834228515625,998.8624267578125,998.8568725585938,998.8571166992188,998.8455200195312,998.8624267578125,998.8442993164062,998.8458251953125,998.8565673828125,998.850830078125,998.8887939453125,998.87255859375,998.8850708007812,998.8865966796875,998.8681030273438,998.8436279296875
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,0.0492125985,0.0492125985,0.0492125985,0.0623359581,0.0623359581,0.0623359581,0.0623359581,0.0623359581,0.0623359581,0.0623359581,0.0623359581,0.0623359581,0.0754593177,0.0754593177,0.0754593177,0.0754593177,0.0754593177,0.0754593177,0.0754593177,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.065616798,0.065616798
