,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
FR_Start,GMT,22:55:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:55:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.0015996625386183645,0.0037456267011719176,0.008288180447385949,0.015368606928346306,0.02285815000322317,0.0252157038832542,0.029168705307186397,0.03252694207320884,0.03752122660862133,0.042498745504353105,0.04364906027312279,0.042327547759561615,0.04628413789204219,0.051820951438715686,0.05535142177089863,0.05704231612900179,0.05978376557482202,0.05905378345097266,0.061349896929563955,0.06039111744845342,0.05649174193288945,0.05293665021843072,0.0492739522468851,0.04930311718779132,0.04906510132589797,0.048823128565264585,0.04216667156221708,0.03568248173605297,0.03141018608348295,0.029659088809646388,0.02581700735452585,0.02100261810233225,0.016044538426510945,0.011676663808487565,0.006868399346660287,0.005333549644486467,0.002395840312801092,0.0030721453483178282
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8618774414062,998.876220703125,998.8756103515625,998.8794555664062,998.8878784179688,998.87255859375,998.8887939453125,998.8442993164062,998.8455200195312,998.8869018554688,998.8869018554688,998.858642578125,998.8583984375,998.8461303710938,998.876220703125,998.876220703125,998.8890991210938,998.8436279296875,998.8828735351562,998.8771362304688,998.8712158203125,998.8806762695312,998.8436279296875,998.854248046875,998.8483276367188,998.8887939453125,998.8743286132812,998.8511352539062,998.8471069335938,998.8778686523438,998.8677978515625,998.889404296875,998.8458251953125,998.872802734375,998.8448486328125,998.8787231445312,998.8505249023438,998.8524169921875
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,0.35433070920000004,0.35433070920000004,0.35433070920000004,0.35433070920000004,0.4002624678,0.4002624678,0.4002624678,0.4002624678,0.4002624678,0.4002624678,0.4002624678,0.4002624678,0.4002624678,0.43635170670000006,0.43635170670000006,0.43635170670000006,0.43635170670000006,0.43635170670000006,0.43635170670000006,0.43635170670000006,0.4658792658,0.4658792658,0.4658792658,0.4658792658,0.4658792658,0.4658792658,0.4658792658,0.4954068249,0.4954068249,0.4954068249,0.4954068249,0.4954068249,0.4954068249,0.4954068249,0.4954068249,0.5118110244,0.5118110244,0.5118110244
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.020108282566070557,0.020108282566070557,0.020108282566070557,0.020108282566070557,0.020108282566070557,0.01937713846564293,0.01937713846564293,0.01937713846564293,0.01937713846564293,0.01937713846564293,0.01937713846564293,0.01937713846564293,0.01937713846564293,0.018798844888806343,0.018798844888806343,0.018798844888806343,0.018798844888806343,0.018798844888806343,0.018798844888806343,0.018798844888806343,0.018278779461979866,0.018278779461979866,0.018278779461979866,0.018278779461979866,0.018278779461979866,0.018278779461979866,0.018278779461979866,0.017755018547177315,0.017755018547177315,0.017755018547177315,0.017755018547177315,0.017755018547177315,0.017755018547177315,0.017755018547177315,0.017755018547177315,0.016834681853652,0.016834681853652,0.016834681853652
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,22:55:13,22:55:14,22:55:14,22:55:14,22:55:14,22:55:15,22:55:15,22:55:15,22:55:15,22:55:16,22:55:16,22:55:16,22:55:16,22:55:17,22:55:17,22:55:17,22:55:17,22:55:18,22:55:18,22:55:18,22:55:18,22:55:19,22:55:19,22:55:19,22:55:19,22:55:20,22:55:20,22:55:20,22:55:20,22:55:21,22:55:21,22:55:21,22:55:21,22:55:22,22:55:22,22:55:22,22:55:22,22:55:23
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
