,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
FR_Start,GMT,17:54:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,17:54:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.0626227838936666,0.06406099283709582,0.06368889157952015,0.06170701391577199,0.059859970250170494,0.059655207615294685,0.06044996065766998,0.06181272880581636,0.05883631596284509,0.055416149912140895,0.0525327898832459,0.047254125021475836,0.037384877072424445,0.029366718297802193,0.022536226499399403,0.0126041257346669,0.0035791928944098068,-0.0028203737251724058,-0.0048678199892050475,-0.008218210561133246,-0.008822529067023984,-0.013671658056842862,-0.019302111077483045,-0.023173122198449587,-0.026184754495727366,-0.02677561267098142,-0.028310434109592813,-0.02969655559910601,-0.027804091624801422,-0.023118685049451655,-0.021354013626848627,-0.021140012626458937,-0.018730215460978496,-0.01570882077646181,-0.014812836820027465,-0.014239693023495656,-0.015329846126055485,-0.015956327084290702,-0.014736034790467659,-0.013704177958997386,-0.012264787293106622,-0.00820428961081698,-0.00737341802729792,-0.00334512285499553,-0.0004872457696053578,-0.00047586008948445526,-0.0013315921019973408,-0.005075581235278538,-0.005754936443897384,-0.005754207702314761,-0.004112545796382276
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.847412109375,998.8630981445312,998.8712158203125,998.8489379882812,998.8599853515625,998.8611450195312,998.8546142578125,998.8555297851562,998.857421875,998.85498046875,998.85498046875,998.8887939453125,998.8471069335938,998.8656005859375,998.8828735351562,998.8818359375,998.854248046875,998.8624267578125,998.8890991210938,998.8458251953125,998.8834228515625,998.8853759765625,998.8662109375,998.8787231445312,998.8822631835938,998.8856811523438,998.8477172851562,998.855224609375,998.854248046875,998.8712158203125,998.8693237304688,998.8514404296875,998.8527221679688,998.8753051757812,998.8646850585938,998.8753051757812,998.8699951171875,998.8677978515625,998.8709106445312,998.8571166992188,998.8489379882812,998.8853759765625,998.843017578125,998.8618774414062,998.8693237304688,998.8746948242188,998.8834228515625,998.8595581054688,998.8674926757812,998.85302734375,998.8775634765625
