,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
FR_Start,GMT,22:55:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:55:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.06293043811786417,-0.06042462428365276,-0.05705173324245103,-0.055049169706525285,-0.04988322298724139,-0.04868313379339446,-0.0454374593383248,-0.04591210996695282,-0.04448258175658956,-0.04274108492741799,-0.04227902915331228,-0.042790266581564304,-0.04148927494208655,-0.03660092529417733,-0.03307888819791908,-0.0295872688058747,-0.027158371583232938,-0.0261079448273669,-0.026149154629148172,-0.026033047914690806,-0.022889647833849863,-0.017374158763088846,-0.01345407445894531,-0.013100022159560631,-0.010158100793193304,-0.009764733114590148,-0.00890159447321829,-0.005380586705348489,-0.005645643157685514,-0.005785031026843493,-0.002292537946974038,0.0024246204491242475,0.010472976739531454,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8715209960938,998.8862915039062,998.8577270507812,998.8853759765625,998.8571166992188,998.8677978515625,998.8461303710938,998.8731079101562,998.8471069335938,998.8448486328125,998.8822631835938,998.8822631835938,998.8753051757812,998.8461303710938,998.8740234375,998.8442993164062,998.8615112304688,998.8850708007812,998.8828735351562,998.8721923828125,998.8471069335938,998.8442993164062,998.8794555664062,998.8812866210938,998.8539428710938,998.871826171875,998.8637084960938,998.8595581054688,998.8834228515625,998.885986328125,998.8681030273438,998.8797607421875,998.8502197265625,998.8592529296875
Yaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,-0.0131233596,-0.0131233596,-0.0196850394,-0.0196850394,-0.0196850394,-0.0196850394,-0.0196850394,-0.0196850394,-0.0196850394,-0.0196850394,-0.0360892389,-0.0360892389,-0.0360892389,-0.0360892389,-0.0360892389,-0.0360892389,-0.0360892389,-0.0590551182,-0.0590551182,-0.0590551182,-0.0590551182,-0.0590551182,-0.0590551182,-0.0590551182,-0.0590551182,-0.0721784778,-0.0721784778,-0.0721784778,-0.0721784778,-0.0721784778,-0.0721784778,-0.0721784778,-0.0721784778,-0.065616798
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
