,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
FR_Start,GMT,23:32:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:32:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.028718434674733413,-0.031074631903767868,-0.03664458867872944,-0.03742718075045971,-0.037329599655354304,-0.03923830066433419,-0.04161352461804366,-0.04383157260944657,-0.0453572977642363,-0.04657497147719432,-0.046209745140209424,-0.048900738779933846,-0.04826900079908688,-0.046070395083114696,-0.045826445400871434,-0.04573302592436364,-0.047974812252686454,-0.04866647815244319,-0.047043538564979566,-0.045017392523667314,-0.04622659022341697,-0.043716028110717516,-0.036200701028104965,-0.022765471490379052,-0.009669423034919892,0.003822194219551573,0.013874804321499774,0.023133230853661615,0.026632155994653794,0.02757459455340011,0.027847904729846402,0.031388116060626414,0.03376598915040353,0.03459322237316994,0.0386806773829761,0.0423231814211064,0.043525287258326634,0.044697189277751376,0.04754747024428379,0.04898068952312423,0.04625094577542991,0.04542563141938839,0.046843016992228204,0.04761509196321471,0.047846400958131724,0.04851424602192147,0.04257646571775182,0.033535434868991375,0.027414295849385206,0.019295731151174802,0.015562577465654724,0.01261955305647261,0.011972178450681945,0.009539788768380067,0.006805551878139633
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8517456054688,998.8872680664062,998.846435546875,998.8712158203125,998.8677978515625,998.864013671875,998.8812866210938,998.8822631835938,998.8800048828125,998.87255859375,998.8658447265625,998.8439331054688,998.8524169921875,998.8696899414062,998.8555297851562,998.8869018554688,998.8480224609375,998.8514404296875,998.8787231445312,998.8759765625,998.8489379882812,998.8583984375,998.8517456054688,998.8658447265625,998.8436279296875,998.8527221679688,998.8571166992188,998.8818359375,998.8850708007812,998.868408203125,998.8524169921875,998.8565673828125,998.884765625,998.8486328125,998.8505249023438,998.8812866210938,998.8517456054688,998.8627319335938,998.8734130859375,998.8812866210938,998.8499145507812,998.8671875,998.8740234375,998.8712158203125,998.8489379882812,998.8743286132812,998.8862915039062,998.8448486328125,998.8856811523438,998.8483276367188,998.8502197265625,998.849609375,998.8634033203125,998.8696899414062,998.8703002929688
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,-0.3051181107,-0.33136482990000005,-0.33136482990000005,-0.33136482990000005,-0.33136482990000005,-0.33136482990000005,-0.33136482990000005,-0.33136482990000005,-0.33136482990000005,-0.33136482990000005,-0.35433070920000004,-0.35433070920000004,-0.35433070920000004,-0.35433070920000004,-0.35433070920000004,-0.35433070920000004,-0.35433070920000004,-0.35433070920000004,-0.36745406880000003,-0.36745406880000003,-0.36745406880000003,-0.36745406880000003,-0.36745406880000003,-0.36745406880000003,-0.36745406880000003,-0.36745406880000003,-0.4002624678,-0.4002624678,-0.4002624678,-0.4002624678,-0.4002624678,-0.4002624678,-0.4002624678,-0.4002624678,-0.4002624678,-0.4133858274,-0.4133858274,-0.4133858274,-0.4133858274,-0.4133858274,-0.4133858274,-0.4133858274,-0.4133858274,-0.4199475072,-0.4199475072,-0.4199475072,-0.4199475072,-0.4199475072,-0.4199475072,-0.4199475072,-0.4199475072,-0.4199475072,-0.43307086680000006,-0.43307086680000006,-0.43307086680000006
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
