,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FR_Start,GMT,17:57:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,17:57:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.03509210938852066,-0.037876223063767145,-0.037640068013713696,-0.03449460851221579,-0.03218168967218036,-0.030695292118690164,-0.029491560744690243,-0.028648884922516812,-0.025750510067051556,-0.02328650033331248,-0.02129979800306973,-0.016761374174430594,-0.012292429057161953,-0.010796424184086174,-0.012354016123574297,-0.013807552320520626,-0.011119687533545076,-0.008454496234677918,-0.007327414114224678,-0.006294374796412793,-0.006015278610409296,-0.0071446993496835,-0.00590296952569827,-0.0032327744304611232,-0.000638265336007881,0.002379368194035598,0.002809417202420882,2.00553622891151e-05,-0.001352267661794048,-0.004257974429099355,-0.004824371636891412,-0.00630236078055905,-0.008038046392131248,-0.013623061534826831,-0.017069262145928247,-0.020853843292987628,-0.024662508050756576,-0.026858536435387284,-0.027547076537915414,-0.028227650899119026,-0.02729384724063473,-0.02719465894187121,-0.026144510238349065,-0.026829915377087798,-0.02666185565160597,-0.0284915500731566,-0.02921027566035865,-0.03243003319256119,-0.03491359367270032,-0.03383310365297087,-0.0307080397492256,-0.03206503296407573,-0.032433886203612296,-0.02945549338351088,-0.027387095608007814,-0.025874991962548628,-0.024340705239983183,-0.019889690679495364,-0.013745315956052486,-0.00747831938507238,-0.003378627780494699,-0.0013613448486140755,-0.0012234572399050174,-0.0018477934138859274,0.00018460079635887488,0.0006436682119696648,0.0033934627133095055,0.0065598506189058535,0.009485605227563927,0.010514119319866948
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
