,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
FR_Start,GMT,00:00:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,00:00:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.050166546103588124,0.05077185994520439,0.051591787419023,0.04823048291065693,0.04508550923688077,0.04073076953658611,0.04091619072819986,0.0360460397589745,0.029864985042539614,0.022361079494668545,0.01516137696085847,0.0111433074690548,0.0029995719678313996,-0.0017951700981038623,-0.01016228914759322,-0.0176831406108405,-0.02164528873467869,-0.029230500148976594,-0.03161294429706652,-0.0329176728378254,-0.03461930429413123,-0.036756301555049234,-0.03933917866580291,-0.040781747836646814,-0.04178672372860713,-0.04148498804715816,-0.04118218598913755,-0.04170534300193386,-0.042753661448818724,-0.04281589323000647,-0.04230126111874273,-0.04330800615693508,-0.044716060170893,-0.04635097128674537,-0.04749278865366485,-0.04794597425244833,-0.04853354468789985,-0.04962792510274295,-0.05098452415547921,-0.050795194953449634,-0.050950433715909724,-0.051082887463771834,-0.050655224625741596,-0.04951194672013661,-0.049336565968105664,-0.049486368960018644,-0.04939916746724518,-0.048832148461079694,-0.04938423208420174,-0.04912477258110568,-0.04932039309935589,-0.04956296168644047,-0.049303642737276485,-0.049689252449932976,-0.04897395210094527,-0.04698964835410863,-0.045592658379021475,-0.04476222602654016,-0.0442372448681471,-0.043290030531230386,-0.041730010217013586,-0.039832495467714966,-0.03881313724187874,-0.03868767757989764,-0.037271352272588945,-0.03637175821896438,-0.03675377158427183,-0.03758722890181309,-0.03861311677445043,-0.0389860674666591,-0.03907790723919114,-0.03817870123663992,-0.036586704902875335
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.857421875,998.8483276367188,998.8887939453125,998.8803100585938,998.8703002929688,998.8477172851562,998.8471069335938,998.8539428710938,998.8703002929688,998.8442993164062,998.8458251953125,998.8812866210938,998.8448486328125,998.87841796875,998.8800048828125,998.8514404296875,998.8890991210938,998.8771362304688,998.8517456054688,998.8815307617188,998.8815307617188,998.8865966796875,998.857421875,998.8637084960938,998.8466796875,998.8618774414062,998.8815307617188,998.882568359375,998.850830078125,998.8546142578125,998.8887939453125,998.8815307617188,998.8790893554688,998.8715209960938,998.8634033203125,998.8753051757812,998.8803100585938,998.8809814453125,998.8499145507812,998.8699951171875,998.8768310546875,998.8621826171875,998.8489379882812,998.8844604492188,998.8740234375,998.8630981445312,998.8642578125,998.8665161132812,998.8627319335938,998.8787231445312,998.876220703125,998.8611450195312,998.8831787109375,998.8521118164062,998.8446044921875,998.8696899414062,998.87060546875,998.876220703125,998.8602905273438,998.850830078125,998.8583984375,998.8721923828125,998.8831787109375,998.8439331054688,998.87255859375,998.8884887695312,998.8869018554688,998.8803100585938,998.8677978515625,998.8658447265625,998.8527221679688,998.8536376953125,998.849609375
Yaw,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
