,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
FR_Start,GMT,23:13:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:13:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.06199626168590784,-0.05712763236577325,-0.050979363381755724,-0.04942086777214995,-0.04815084688605359,-0.05024240856066719,-0.053378435671114555,-0.05492369782246314,-0.05561712981293165,-0.05485238197953478,-0.05138860143260267,-0.051060389668078535,-0.049918294248815165,-0.046842891715897436,-0.04339973898625793,-0.04149580764440792,-0.04054966885062363,-0.04139444687073771,-0.04303672484594313,-0.04256315587148806,-0.04169321869753199,-0.04266644467844395,-0.04448338535841862,-0.045031744302340596,-0.043194142194350436,-0.041105825482255685,-0.041920491350182144,-0.04093771075740913,-0.039641681282837786,-0.03784953920531413,-0.03681678252312653,-0.03527438950530449,-0.03625965729157124,-0.04209968844702104,-0.04773283338101255,-0.04917268924986329,-0.05081253197541945,-0.05194678387416881,-0.055006722419037674,-0.05604403488193676,-0.05377119835670572,-0.05169530233447831,-0.0514209655032238,-0.05133734813571833,-0.05196259313600734,-0.054182391940520706,-0.05553210079506487,-0.05555823160435036,-0.05501254012961761
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8448486328125,998.8533325195312,998.8712158203125,998.8461303710938,998.8822631835938,998.8806762695312,998.8806762695312,998.8765258789062,998.849609375,998.8466796875,998.8583984375,998.8489379882812,998.8539428710938,998.8634033203125,998.868408203125,998.8592529296875,998.875,998.884765625,998.8558349609375,998.8856811523438,998.8831787109375,998.8850708007812,998.8862915039062,998.8794555664062,998.8844604492188,998.8627319335938,998.8486328125,998.8834228515625,998.8668823242188,998.8862915039062,998.8828735351562,998.85302734375,998.8681030273438,998.8595581054688,998.8477172851562,998.864990234375,998.8806762695312,998.8652954101562,998.8461303710938,998.8533325195312,998.84326171875,998.8834228515625,998.8753051757812,998.8696899414062,998.8709106445312,998.87255859375,998.8765258789062,998.8615112304688,998.876220703125
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
