,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
FR_Start,GMT,22:35:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:36:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.04383745448595202,0.04487184892700035,0.043478727240565604,0.04243475985453464,0.044791999015978634,0.0447735772843156,0.04300861711504776,0.0422418037499534,0.04136704802054325,0.04091688738681972,0.03934604136431264,0.0382424974442021,0.03877435046766568,0.04113154379630573,0.041497035963553475,0.041520239584427424,0.04246253758924166,0.04409930340589341,0.04608563296266412,0.04580518203536421,0.04482116090136459,0.04305508852272118,0.043495300382469786,0.043392885454308985,0.04027748921667449,0.03434671827598717,0.028220739312285092,0.0252398669374906,0.025586289602779644,0.02389551288220659,0.022515745347079404,0.020775675445870452,0.021258510285521764,0.02370929572756444,0.02557322725365716,0.020799396977428906,0.013268087996082987,0.0063524384660223615,-0.0005499579836118894,-0.008453454302268383,-0.014940455207074061,-0.022620572608487495,-0.02623120451475894,-0.02971741563593857,-0.03388965827751076,-0.041111371251532254,-0.04725735165087311,-0.05007823851247961,-0.05077046968348492,-0.05065823736872049,-0.04913310804038197,-0.050736030914605504,-0.05405847226075195,-0.054627367356358654,-0.052727053750499527,-0.049515158071932575,-0.0454476219987181,-0.04342840282184109,-0.041663968202058414,-0.04091845181319416,-0.04031334269143548,-0.04165750577670308,-0.04525781002448704,-0.049484162874389066,-0.05127766771394983,-0.052939387964585985,-0.05247556609976851,-0.052829664231957126,-0.05422858529585023,-0.05456253532742746,-0.05237762445327211,-0.04959494076150851,-0.047437312627777645,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.875,998.8634033203125,998.8565673828125,998.8458251953125,998.8775634765625,998.8699951171875,998.8759765625,998.8703002929688,998.8621826171875,998.8797607421875,998.858642578125,998.8646850585938,998.8615112304688,998.8521118164062,998.8753051757812,998.8693237304688,998.8753051757812,998.8458251953125,998.8493041992188,998.8677978515625,998.8599853515625,998.8568725585938,998.8611450195312,998.8687133789062,998.8875732421875,998.8781127929688,998.8834228515625,998.8521118164062,998.8806762695312,998.847412109375,998.85498046875,998.8499145507812,998.8483276367188,998.847412109375,998.8624267578125,998.8558349609375,998.8489379882812,998.8806762695312,998.8790893554688,998.8627319335938,998.8790893554688,998.8599853515625,998.8734130859375,998.8721923828125,998.8865966796875,998.8630981445312,998.8514404296875,998.8539428710938,998.8831787109375,998.8662109375,998.8781127929688,998.8656005859375,998.8674926757812,998.8721923828125,998.8637084960938,998.8602905273438,998.8740234375,998.8505249023438,998.8533325195312,998.8577270507812,998.8558349609375,998.8592529296875,998.8746948242188,998.8489379882812,998.8828735351562,998.8595581054688,998.8818359375,998.8486328125,998.8818359375,998.8637084960938,998.843017578125,998.8505249023438,998.8458251953125,
Yaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
