,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
FR_Start,GMT,23:02:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:02:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.02045019989974145,0.023603640420165193,0.02125239007843584,0.01826969050252433,0.018523935760292317,0.017435637358531868,0.018184551485928103,0.018730436986197533,0.017552358232562012,0.019537853632301046,0.021698951309290063,0.018949016683700682,0.01912566394888046,0.019126310191415995,0.018888515854741682,0.015991435012107622,0.012674047496475466,0.009557600923750713,0.007773144243567484,0.007323217357144039,0.0079826757816931,0.009724475107370666,0.010576673458442395,0.011209917046898743,0.01066047033776329,0.010070784718409996,0.007112470485833986,0.0018593362145878317,0.0015406373349761678,0.007152713215452153,0.014707884282288608,0.01947444394805208,0.026865206636120475,0.032530947860273066,0.03659512591671897,0.0400321706613536,0.04341473547970662,0.04655360727951843,0.04995897544559101,0.05047178646677826,0.05278005480497405,0.05265230350279603,0.05104226126636072,0.051749983925097255,0.05017465850988524,0.048413459686060624,0.045684675371728746,0.04399750874834592,0.04427228251899798,0.041200607720800586,0.039411206444952454,0.03933011904822439,0.04234303924729284,0.04433775009614378,0.044734378014867106,0.04648440891213203,0.04480133363038078,0.04275690641133757,0.043883818950416244,0.045675316313164495,0.04814956356754331,0.04869538948516762,0.04499957578501627,0.04468532469257182,0.04353028914499646,0.0425901727816497,0.04215423865026869,0.040454785779910074,0.037138489085011654,0.036488387427386644,0.03399711786962505,0.033510269604108855,0.03428268068232425,0.03229122090703268,0.03175883011200289,0.03049473387969565,0.029068912015410887,0.028740620807359927,0.02884088159373561,0.027984770648967663,0.027657994978966937,0.027361108408174666,0.02664206810238557,0.024983579064427084,0.022621253989506047,0.019992562407935413,0.016986650044589165,0.01512903886215957,0.01291276612802921,0.011427365438024677,0.009561803791871876,0.00865736903027133,0.007443403955032002,0.006152519594642788,0.004707171428120078,0.0028961569296946633,0.0012194071477969817,-0.0005492677702300775,-0.0019082375247500547,-0.002716234146793408,-0.003789587998949632,-0.004978708638934012,-0.005401520456607384,-0.005328202102086938,-0.005956109606344742,-0.007397282404428651,-0.008996671569468524,-0.009093428437983105,-0.008784119649563358,-0.007919697689681222
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8439331054688,998.882568359375,998.8589477539062,998.8561401367188,998.8605346679688,998.849609375,998.8677978515625,998.8869018554688,998.8446044921875,998.8466796875,998.875,998.849609375,998.8589477539062,998.8862915039062,998.8677978515625,998.87841796875,998.8699951171875,998.876220703125,998.8687133789062,998.8781127929688,998.8533325195312,998.8642578125,998.868408203125,998.8611450195312,998.8627319335938,998.8840942382812,998.8897705078125,998.855224609375,998.846435546875,998.8771362304688,998.8887939453125,998.849609375,998.8806762695312,998.847412109375,998.8533325195312,998.8828735351562,998.8787231445312,998.846435546875,998.855224609375,998.8439331054688,998.8756103515625,998.8740234375,998.847412109375,998.8592529296875,998.8671875,998.8794555664062,998.8840942382812,998.8502197265625,998.8797607421875,998.8489379882812,998.8737182617188,998.8461303710938,998.85302734375,998.8837890625,998.8637084960938,998.88818359375,998.8844604492188,998.8555297851562,998.8536376953125,998.8483276367188,998.875,998.8743286132812,998.8489379882812,998.8715209960938,998.8615112304688,998.8721923828125,998.8571166992188,998.8850708007812,998.8630981445312,998.8743286132812,998.8787231445312,998.8599853515625,998.8818359375,998.86083984375,998.8790893554688,998.8605346679688,998.8436279296875,998.8790893554688,998.8493041992188,998.850830078125,998.8677978515625,998.876220703125,998.8834228515625,998.8709106445312,998.8890991210938,998.846435546875,998.8834228515625,998.8527221679688,998.8837890625,998.8466796875,998.8743286132812,998.868408203125,998.868408203125,998.8800048828125,998.8615112304688,998.8806762695312,998.864013671875,998.8565673828125,998.8671875,998.87841796875,998.8580932617188,998.8446044921875,998.8790893554688,998.8775634765625,998.8869018554688,998.843017578125,998.85498046875,998.8458251953125,998.8565673828125,998.8884887695312
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,0.0853018374,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.1017060369,0.1017060369,0.1017060369,0.1017060369,0.1017060369,0.1017060369,0.1017060369,0.11154855660000002,0.11154855660000002,0.11154855660000002,0.11154855660000002,0.11154855660000002,0.11154855660000002,0.11154855660000002,0.11154855660000002,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.10826771670000002,0.10826771670000002,0.10826771670000002,0.10826771670000002,0.10826771670000002,0.1213910763,0.1213910763,0.1213910763,0.1213910763,0.1213910763,0.1213910763,0.1213910763,0.1213910763,0.1345144359,0.1345144359,0.1345144359,0.1345144359,0.1345144359,0.1345144359,0.1345144359,0.1345144359,0.1345144359,0.1377952758,0.1377952758
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
