,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
FR_Start,GMT,21:35:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,21:35:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.0008575890526949661,-0.000991527974374703,-0.0016055636076104595,-0.002423203451602481,-0.003793751145307382,-0.005437970139759604,-0.009084314584919926,-0.013307126850717702,-0.017146921248921705,-0.02292098066638238,-0.02740766231489517,-0.02885084870083211,-0.02903951485496471,-0.02960968715804117,-0.032526245414588977,-0.03237508882719967,-0.034632281088686365,-0.03743865422904566,-0.03985983626302444,-0.04106766508969646,-0.04175127052700054,-0.04365452354335226,-0.04447086383638261,-0.046190898691229894,-0.04681395899453117,-0.0437781346155745,-0.04170083916506684,-0.04198418061453514,-0.04263439838193012,-0.04326750218033446,-0.0428256128399617,-0.04224054182008496,-0.04368971397021627,-0.044320963067821226,-0.04381168422805751,-0.043994581559934375,-0.04314662579874722,-0.04347048955793772,-0.045671793298301754,-0.04830052765715607,-0.048380075071671795,-0.050975293428765986,-0.0567886957251275,-0.06099979541787878,-0.06694552618577164,-0.07312903754049764,-0.07552853149165269,-0.07611778246324864,-0.07941968765771036
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
