,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
FR_Start,GMT,00:04:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,00:05:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.011681679444998573,0.012437408146460402,0.013371485274008197,0.012544190940836537,0.012368636024150625,0.01518456683189124,0.016488393994172665,0.018442978223175418,0.020531673819782725,0.02275793352189129,0.02447360509380363,0.02605152464571856,0.026092682503655366,0.025743066819691938,0.02524204399567768,0.024418223789044565,0.02283058309941427,0.02192220289727468,0.02085568729946609,0.019194266489815665,0.017393012850869027,0.01570622663975889,0.014228002602971067,0.012498871464302112,0.010572824266791623,0.008922142846984067,0.00768550657527654,0.007252470604864578,0.00693311221030124,0.006493391525434843,0.00541707152698373,0.004998753233796498,0.0047325967941649495,0.003969654773243261,0.0033829471403258736,0.0029494595258251007,0.0023626004536847003,0.0019803436016063267,0.0014239037614399335,0.00033296892311792764,-0.00048360755208021585,-0.0008702565713085206,-0.0010531839809629717,-0.0011752866765105893,-0.002199273920059606,-0.0028163698478083418,-0.002958303729225107,-0.002520344551790081,-0.0014435057832893887,-0.0006181779161192143,-0.000539323054368001,0.00014909899288310808,0.000323545125718115,0.0008529000703970291,0.0015428493406762515,0.0020385541271585156,0.0022322867158264853,0.0019876321632526523,0.0012883370113403129,0.0011181790982881794,0.0012849134918561207,0.0013882197725685111,0.0010381729737930349,0.00036364255102504613,0.0003452957989647097,0.00013964540416073543,-5.769047242281213e-05,-7.109944406070663e-05,-6.268689257591814e-05,0.00046057523131098573,0.0010280268323061494,0.0006965425100957975,9.157511345250236e-06,0.0007869310059881275,0.0015624783847830287,0.002169423778734502,0.0024086843831948182,0.0024623555514569277,0.0028269889265408682,0.0027838841292867553,0.0029743226761416593,0.0033002311512978634,0.004601917921635357,0.0053897356968946875,0.00615614955271472,0.006739938399901288,0.0067422858033430065,0.006868324486413855,0.007881969653239148,0.00890585768786464,0.011154092691701605,0.01286985745698195,0.014230329381651013,0.014940540761641414,0.012226979813137721,0.00890320014911627,0.007012400669474714,0.005141797796828707,0.002649781164362922,-0.0004456177912306521,-4.743182572500864e-05,0.0015655879495602423,0.00021450313217658915,-0.002088358343558328,-0.0005391350921293488,0.0020084805509142114,0.005632833652864757,0.005635062654896302,0.0030954459819601153,0.0019516245756884222,0.0016548436113152246,0.0015676838454903481,-0.0008288455826149613,-0.004689565138427122,-0.009316355376939825,-0.015130806480631465,-0.018679076746104008,-0.022134601277286652,-0.028224097329053656,-0.028078550676866435,-0.024337364028576065,-0.022429475787986024,-0.02463938081788919,-0.027018725140672738,-0.027367741942664704,-0.026051304648259655,-0.024526366289937544,-0.029627711672070064,-0.03522474341207826,-0.03907676141909268,-0.043254760660839546,-0.04451022504840503,-0.04521243860410815,-0.047117237713712734,-0.05001584173319768,-0.050883737819618365,-0.05132959322529193,-0.052296634833192454,-0.053219964168216664,-0.053759789044045284,-0.05400625953050517,-0.054259794379812105,-0.05514438582894746,-0.05318796064898651,-0.05212155352214724,-0.0526230499518022,-0.049775085069628806,-0.046524845667286874,,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
G,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.0,1.001,1.001,,
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8427124023438,998.868408203125,998.87255859375,998.8721923828125,998.8634033203125,998.8605346679688,998.8448486328125,998.8471069335938,998.86083984375,998.8546142578125,998.8656005859375,998.8853759765625,998.8709106445312,998.8668823242188,998.8768310546875,998.8890991210938,998.8511352539062,998.8862915039062,998.8834228515625,998.8790893554688,998.87255859375,998.871826171875,998.8869018554688,998.8775634765625,998.8787231445312,998.8637084960938,998.8592529296875,998.8674926757812,998.8781127929688,998.889404296875,998.8499145507812,998.871826171875,998.8890991210938,998.8536376953125,998.8822631835938,998.8746948242188,998.8618774414062,998.8812866210938,998.8872680664062,998.8630981445312,998.8696899414062,998.8624267578125,998.87841796875,998.8884887695312,998.85302734375,998.8809814453125,998.8477172851562,998.8583984375,998.8642578125,998.8828735351562,998.8493041992188,998.8831787109375,998.8521118164062,998.8621826171875,998.875,998.8671875,998.8806762695312,998.8746948242188,998.8502197265625,998.8696899414062,998.872802734375,998.8872680664062,998.868408203125,998.8671875,998.875,998.8746948242188,998.8621826171875,998.876220703125,998.8589477539062,998.87255859375,998.8884887695312,998.87060546875,998.8436279296875,998.8731079101562,998.8630981445312,998.8840942382812,998.8646850585938,998.8637084960938,998.8794555664062,998.8658447265625,998.8599853515625,998.8427124023438,998.8865966796875,998.858642578125,998.8703002929688,998.8806762695312,998.8565673828125,998.8466796875,998.8658447265625,998.8674926757812,998.8499145507812,998.8834228515625,998.8555297851562,998.8721923828125,998.8809814453125,998.8615112304688,998.8580932617188,998.8822631835938,998.8775634765625,998.8502197265625,998.871826171875,998.8602905273438,998.8486328125,998.84326171875,998.8439331054688,998.8442993164062,998.847412109375,998.8517456054688,998.8493041992188,998.8455200195312,998.8599853515625,998.8671875,998.8850708007812,998.8884887695312,998.8856811523438,998.8709106445312,998.8656005859375,998.8875732421875,998.8499145507812,998.8446044921875,998.8900756835938,998.8856811523438,998.8712158203125,998.8681030273438,998.864013671875,998.8514404296875,998.8862915039062,998.8539428710938,998.8477172851562,998.8794555664062,998.8539428710938,998.8674926757812,998.8615112304688,998.8875732421875,998.8493041992188,998.864990234375,998.8615112304688,998.8765258789062,998.8869018554688,998.8781127929688,998.8809814453125,998.875,998.8477172851562,998.8834228515625,998.8781127929688,998.8627319335938,998.8693237304688,998.889404296875,,
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Altitude,0.0492125985,0.05577427830000001,0.0590551182,0.065616798,0.0688976379,0.0688976379,0.0721784778,0.0721784778,0.0688976379,0.0688976379,0.0721784778,0.0623359581,0.0393700788,0.0393700788,0.0196850394,0.0065616798,0.0,0.0,0.0,-0.0032808399,-0.0032808399,-0.0032808399,-0.0032808399,-0.0032808399,-0.0032808399,0.0,0.0,0.0,0.0,0.0,0.0065616798,0.0065616798,0.0098425197,0.0131233596,0.0131233596,0.0164041995,0.0196850394,0.0196850394,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.0295275591,0.0360892389,0.0426509187,0.0426509187,0.0492125985,0.05577427830000001,0.05577427830000001,0.05577427830000001,0.0590551182,0.0688976379,0.0688976379,0.0754593177,0.0754593177,0.0754593177,0.0754593177,0.0754593177,0.098425197,0.098425197,0.098425197,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.1279527561,0.1279527561,0.1279527561,0.1410761157,0.1410761157,0.1410761157,0.1410761157,0.131233596,0.131233596,0.131233596,0.1181102364,0.1181102364,0.1181102364,0.1181102364,0.11154855660000002,0.11154855660000002,0.11154855660000002,0.11154855660000002,0.1049868768,0.1049868768,0.1049868768,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.09514435710000001,0.0787401576,0.0787401576,0.0787401576,0.0853018374,0.0853018374,0.0853018374,0.0853018374,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.08202099750000001,0.0196850394,0.0196850394,0.0196850394,-0.0098425197,-0.0098425197,-0.0098425197,-0.0098425197,-0.0065616798,-0.0065616798,-0.0065616798,0.0032808399,0.0032808399,0.0032808399,0.0032808399,0.0262467192,0.0262467192,0.0262467192,0.032808399,0.032808399,0.032808399,0.032808399,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.0262467192,0.0262467192,0.0262467192,0.0262467192,0.0164041995,0.0164041995,0.0164041995,-0.0032808399,-0.0032808399,-0.0032808399,-0.0032808399,-0.0295275591,-0.0295275591,-0.0295275591,-0.0295275591,-0.065616798,-0.065616798,,
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,,
GS,0.027614569291472435,0.027291297912597656,0.02764086052775383,0.02721250057220459,0.027562934905290604,0.027562934905290604,0.027234649285674095,0.027539942413568497,0.027213219553232193,0.027213219553232193,0.02754143625497818,0.027199838310480118,0.027530094608664513,0.027530094608664513,0.027240658178925514,0.027360036969184875,0.027184395119547844,0.027184395119547844,0.027312349528074265,0.027149483561515808,0.027149483561515808,0.027613066136837006,0.027384355664253235,0.02775530330836773,0.02775530330836773,0.02743927389383316,0.027759425342082977,0.027759425342082977,0.027474187314510345,0.02781520038843155,0.02744472585618496,0.02744472585618496,0.027830518782138824,0.02751060388982296,0.02751060388982296,0.027843911200761795,0.027534056454896927,0.027534056454896927,0.02788366563618183,0.027609486132860184,0.027609486132860184,0.02796659804880619,0.027628151699900627,0.02774324081838131,0.02774324081838131,0.02757606841623783,0.027714354917407036,0.027714354917407036,0.027540553361177444,0.027989068999886513,0.027678851038217545,0.027678851038217545,0.028086503967642784,0.028086503967642784,0.028086503967642784,0.028086503967642784,0.028086503967642784,0.027866438031196594,0.027866438031196594,0.027866438031196594,0.027974428609013557,0.027974428609013557,0.027974428609013557,0.027974428609013557,0.027596669271588326,0.027596669271588326,0.027596669271588326,0.027555296197533607,0.027555296197533607,0.027555296197533607,0.027555296197533607,0.027593836188316345,0.027593836188316345,0.027593836188316345,0.027518218383193016,0.027518218383193016,0.027518218383193016,0.027518218383193016,0.027373461052775383,0.027373461052775383,0.027373461052775383,0.027373461052775383,0.02728753723204136,0.02728753723204136,0.02728753723204136,0.027454033493995667,0.027454033493995667,0.027454033493995667,0.027454033493995667,0.02765488065779209,0.02765488065779209,0.02765488065779209,0.027305830270051956,0.027305830270051956,0.027305830270051956,0.027305830270051956,0.02717813104391098,0.02717813104391098,0.02717813104391098,0.02717813104391098,0.027274999767541885,0.027274999767541885,0.027274999767541885,0.027274835854768753,0.027274835854768753,0.027274835854768753,0.027274835854768753,0.02707105316221714,0.02707105316221714,0.02707105316221714,0.027268506586551666,0.027268506586551666,0.027268506586551666,0.027268506586551666,0.027472123503684998,0.027472123503684998,0.027472123503684998,0.02757071889936924,0.02757071889936924,0.02757071889936924,0.02757071889936924,0.02734426036477089,0.02734426036477089,0.02734426036477089,0.02730957604944706,0.02730957604944706,0.02730957604944706,0.02730957604944706,0.02739778533577919,0.02739778533577919,0.02739778533577919,0.027365414425730705,0.027365414425730705,0.027365414425730705,0.027365414425730705,0.02716343104839325,0.02716343104839325,0.02716343104839325,0.02742650732398033,0.02742650732398033,0.02742650732398033,0.02742650732398033,0.027673764154314995,0.027673764154314995,0.027673764154314995,0.027673764154314995,0.027923090383410454,0.027923090383410454,,
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,,
