,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
FR_Start,GMT,22:38:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:38:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.016022537152860315,-0.021172822803038407,-0.02479554693074897,-0.026736346180087144,-0.02693288335441612,-0.02891147938940227,-0.02925068797135139,-0.026174179340098615,-0.021876234122684458,-0.021828516062743917,-0.020091966120877443,-0.017760727909107786,-0.015344248320813105,-0.014267379092594795,-0.014848048635533313,-0.015101682789248788,-0.015400902249761532,-0.014505619535227447,-0.01349814881097274,-0.010870368538320414,-0.007484321954628197,-0.00641565603443482,-0.001707124326887849,-0.0005828621174394313,-0.00022621596780685504,-0.002846799965073285,-0.0057318989669377105,-0.005338286846713548,-0.005548920281833853,-0.0034383918471303887,-0.0057975544585796655,-0.006434033461054043,-0.006085950884382357,-0.004740026673623419,-0.0037018934215937976,0.0005954941633724374,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
