,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
FR_Start,GMT,23:54:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:54:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.0016481134459968832,0.0001847402522133587,0.001286606345566592,0.0007416938375307742,-0.002321051871094317,-0.002676211987544195,-0.003574444615921774,-0.0022659535838995713,-0.0022828964437555175,-0.003287157343974395,-0.0021981145410899772,-0.0002546428573421552,-0.0010683126256630174,0.001672142821221793,0.001974275147394848,0.0020235169570963305,0.0027173264952872764,0.0002885001225216023,-0.0013583413676809782,-0.00199364962846975,0.0042485699196712,0.010234701158415783,0.014614128698551936,0.02056892672282397,0.026207945894520267,0.028942939026025682,0.03451085471345186,0.03903391080293041,0.041196507212608216,0.041028138879579866,0.04108075188298105,0.040858258064021546,0.04063240622829348,0.03845619747584593,0.039030833894026,0.04177725467131343,0.0440070450270854,0.04445808565064455,0.04584418880703617,0.046933811776830446,0.04633400703824759,0.04375398378341915,0.04341605546446005,0.04736477152122399,0.04603734963147501,0.04202866898955815,0.03477198253061129,0.027408523971609214,0.020646889850083554,0.012528811743474961,0.006820083168628347,0.0031892857834740253,-0.0005151204215957027,-0.0033916259636916687,-0.003926300760117732,-0.003926300760117732,-0.004686149066773569,-0.005006720120941114,-0.005587410288641404,-0.005904387287100102,-0.00623044185431886,-0.00703891112715283,-0.00842782307054582,-0.00975240256257055,-0.009969886092179503,-0.010140997518523574,-0.011131893573113973,-0.011773608591498296,-0.012603934764650488,-0.013850485435729986,-0.015521599883413409,-0.01695377417432405,-0.01807528913685889,-0.018038054566939223,-0.01841052401470654,-0.01879459527291083,-0.019380625726150024,-0.020045300687667356,-0.021115566936598253,-0.022720434649468914,-0.024273335601473926,-0.025122689263181203,-0.025219420923653618,-0.025453053641730315,-0.025227360693055905,-0.026805712601087987,-0.03500705898201205,-0.041622663679149005,-0.04667615808620956,-0.0504238575759396,-0.0505669078680723,-0.05178050857252032,-0.05398729086071514,-0.05841986688417848,-0.0635464737800818,-0.06885222582897954,-0.07258900488929115,-0.07738082454106529,-0.07982401854301562,-0.08094510726047383,-0.07940999554743748,-0.0780549334213933,-0.07703414521207419,-0.07591851365380492,-0.07299791294394974,-0.06938960017755759,-0.06651300507052392,-0.06454238394342307,-0.06388834372017961,-0.06446086877385825,-0.05802645031725113,-0.04485148388445033,-0.03085552054573903,-0.019673110820004065,-0.012794455619582465,-0.004785474863948906,-0.0007509452367482722,0.005113611004346539,0.010557449652710441,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.87841796875,998.8589477539062,998.8781127929688,998.8483276367188,998.8687133789062,998.850830078125,998.8656005859375,998.8455200195312,998.8618774414062,998.8734130859375,998.8815307617188,998.8483276367188,998.871826171875,998.8442993164062,998.8787231445312,998.8621826171875,998.8592529296875,998.8756103515625,998.8611450195312,998.889404296875,998.8446044921875,998.868408203125,998.8740234375,998.8681030273438,998.8502197265625,998.8897705078125,998.846435546875,998.8605346679688,998.8831787109375,998.8900756835938,998.8599853515625,998.8850708007812,998.87255859375,998.8815307617188,998.868408203125,998.8753051757812,998.8775634765625,998.8781127929688,998.855224609375,998.8699951171875,998.8900756835938,998.87060546875,998.8605346679688,998.8555297851562,998.8740234375,998.854248046875,998.8630981445312,998.876220703125,998.8890991210938,998.8844604492188,998.864013671875,998.843017578125,998.8737182617188,998.8794555664062,998.8630981445312,998.8555297851562,998.8555297851562,998.8558349609375,998.876220703125,998.8477172851562,998.871826171875,998.8709106445312,998.8822631835938,998.857421875,998.8502197265625,998.8699951171875,998.8806762695312,998.8517456054688,998.8787231445312,998.876220703125,998.876220703125,998.8737182617188,998.8555297851562,998.8483276367188,998.8840942382812,998.857421875,998.8790893554688,998.864013671875,998.885986328125,998.8797607421875,998.8693237304688,998.864990234375,998.8466796875,998.8897705078125,998.847412109375,998.846435546875,998.8897705078125,998.8524169921875,998.8677978515625,998.8646850585938,998.8439331054688,998.882568359375,998.8746948242188,998.8822631835938,998.8781127929688,998.8775634765625,998.8834228515625,998.8831787109375,998.8662109375,998.8809814453125,998.8621826171875,998.8765258789062,998.8765258789062,998.8856811523438,998.8844604492188,998.8621826171875,998.8536376953125,998.8690185546875,998.8771362304688,998.88818359375,998.8765258789062,998.8448486328125,998.854248046875,998.8884887695312,998.8765258789062,998.8577270507812,998.8884887695312,998.8656005859375,998.8489379882812,998.8668823242188
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
