,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
FR_Start,GMT,23:29:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:29:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.026854469537917806,-0.033559536812822525,-0.039768353986363116,-0.04239055258737579,-0.04287365478505008,-0.04444590023583742,-0.045247702363458465,-0.04776925212702211,-0.05097375344655365,-0.05351850071995072,-0.05406377664392777,-0.054938926535451786,-0.05421290436586272,-0.05568223683868647,-0.05669088241048213,-0.057045518314236966,-0.05683710738816764,-0.05863073444853891,-0.05919222907406967,-0.06079841218841337,-0.06173992186899986,-0.06066882757407781,-0.05901559555873107,-0.057053212114258116,-0.056166023472899576,-0.05464078720135186,-0.05295954828727842,-0.050162506705801004,-0.047576757406000515,-0.045177773726729306,-0.04414312262197891,-0.04277518758906853,-0.040863871054743886,-0.039017896821234285,-0.037982533780262714,-0.037457176792877356,-0.0363728337620968,-0.034711229621230626,-0.03366147507982235,-0.03261004000226967,-0.03205800832299208,-0.031334671955713815,-0.029983028956843447,-0.028081392310710624,-0.02630169231169615,-0.02421495835909741,-0.02241264445461966,-0.021293767933831552,-0.02080525288201212,-0.01960613381584855,-0.01863294908446013,-0.018066994927106148,-0.01699605340819722,-0.016117427862374533,-0.015233656820429676,-0.01355543828813578,-0.012181962069229224,-0.011743549147035206,-0.01065966062489371,-0.009004252315239958,-0.007060596154456283,-0.005166184667924338,-0.003684082030103216,-0.00234733583833297,-0.0019255657620991173,-0.0016684267356724596,-0.001048408584732609,-0.00039429507674535125,0.00037344807361641144,0.0016402063324674034,0.003237000978864322,0.0050132711563840625,0.007303156338860141,0.009918418908876786,0.011363660132190307,0.011431414766252647,0.011504505102573498,0.011154683170992346,0.010304295979556255,0.009421062709177612,0.008449258309067809,0.00710910941354516,0.006453552124491334,0.00611009445967708,0.0054519430339203334,0.004148809856678546,0.0028934377076309933,0.002603190591399267,0.0028269024171234344,0.0038076319919202015,0.004980026332047244,0.006581047526847362,0.008489675203340943,0.010343860383676132,0.012457526455749223,0.01488418780143885,0.01638112995535517,0.01712421262233029,0.01784954882762041,0.01838614707405176,0.01861581219906751,0.019053729363098928,0.020488557373357613,0.019607825046313882,0.01899298256475879,0.020956919741285267,0.022470482397669835,0.022279706406795934,0.022263221874979373
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
