,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
FR_Start,GMT,23:44:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:45:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.008254956247810903,0.008114183846033947,0.006381993749642128,0.005134905306996417,0.0030979156062123365,0.0010195137709145988,0.0003520834223867387,7.052619981394619e-05,0.0025271734486069066,0.005355864872844075,0.006998249027378624,0.00638832325986604,0.0014218013725292695,-0.001612658525660145,-0.0028309133603781054,-0.004211780309889768,-0.003908723115927238,-0.010149087008418725,-0.01732870026038247,-0.0210547315281705,-0.025684843881088684,-0.030097806519986597,-0.032441928332943376,-0.03468604602322653,-0.03518726745605785,-0.03625201543539455,-0.03922159307953846,-0.0429499786256888,-0.046693220111355745,-0.0462279346523325,-0.04389622130716201,-0.043088528136474735,-0.04628449538791292,-0.04750403907927163,-0.04961665939953486,-0.049392995316314796,-0.05063970563832801,-0.05154442074391265,-0.0505155292948572,-0.050534342133113835,-0.052216409093178436,-0.05346053138952926,-0.05470191593972482,-0.055878694569488616,-0.0585497081622161,-0.05934436342794299,-0.05873302104484868,-0.05839562438641526,-0.059912537420767735,-0.06089898158233557,-0.05928048472133372,-0.059328590832347615,-0.0597122175123537,-0.05955490099611506,-0.06008205157389455,-0.060802225477701054,-0.06186049880960137,-0.06268186543346364,-0.06384476589019485,-0.06393265487502739,-0.06403004041683599,-0.0631903651155604,-0.0615715138142081,-0.0592883801856922,-0.05762861546802409,-0.055780209040385484,-0.05422600643674862,-0.0527987607000215,-0.0509283056381682,-0.04867197808891582,-0.047791746867195145,-0.04790902384591308,-0.04844703985374626,-0.048941163313007637,-0.049086401357648336,-0.049153607525823546,-0.048911206992353407,-0.04816048399696173,-0.04794938421306135,-0.04788078472764641,-0.048058774893981596,-0.047749571521010906
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
