,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
FR_Start,GMT,17:57:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,17:58:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.07874381268667058,-0.0782702437122155,-0.07454847336743363,-0.071589965873201,-0.0683869312033955,-0.06686032605877017,-0.06580548713164497,-0.06600348484465945,-0.06401356505158022,-0.059106912837298214,-0.0571784273346182,-0.05922832699045166,-0.06219719269837439,-0.06707005085855239,-0.07280712625875492,-0.07535051077011488,-0.07511277296056543,-0.0733866606759159,-0.06983712389729452,-0.06701640814482272,-0.06186548541866988,-0.05944261673750617,-0.058186626800455526,-0.05937733249157612,-0.0557873589577999,-0.05122740746115083,-0.04751451340273172,-0.04417547141499874,-0.04165575801911289,-0.038280703669565264,-0.036496948995162364,-0.03530556497854349,-0.03348716681540357,-0.034799427213609686,-0.0342650931076929,-0.03529693618932199,-0.038254316196577716,-0.03951194694800936,-0.04046984949480454,-0.04261718358077081,-0.04406920347578684,-0.04269188188462984,-0.04293279743525237
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.0,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
