,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
FR_Start,GMT,22:05:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:05:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.007796195088428306,0.005026643640813197,0.004232501702490414,0.002657470572073694,-0.0010281540183370787,-0.002591990199936787,-0.0025490206094542925,-0.003914399890635058,-0.004704839302279672,-0.003900055368822394,-0.0024696173773009564,-0.0037824201303536774,-0.005596500079482514,-0.00909345899318573,-0.015365882932032227,-0.01784332626060569,-0.02074789312788304,-0.02443585719647985,-0.02773869126910139,-0.030603742620583067,-0.03117668628053768,-0.030110554150522037,-0.029762426504926477,-0.029919969129664544,-0.028421410605529326,-0.029223567173500827,-0.0317477844062537,-0.0323506385540586,-0.03242801960470816,-0.03468327772186864,-0.03867784186017243,-0.03844308318287898,-0.03706802267671628,-0.036694338659644596,-0.03849056291223904,-0.04044868085042546,-0.04268443252622969,-0.04233874318580367,-0.040532007943505984,-0.040482841566960984,-0.03961668407156971,-0.03680161492054314,-0.03409132567036059,-0.031839013074733226,-0.02951698267327482,-0.023983357561995322,-0.018260930325931544,-0.018260930325931544,-0.016718326477211387,-0.014660013446334936,-0.013075530636896007,-0.011823608361194912,-0.008907432044679928,-0.008536186332777772,-0.009390862710782443,-0.01038266549101076,-0.009500315265988,-0.007941051956916252,-0.007039616188453417,-0.007534486722418992,-0.008233210873982265,-0.008662048559553456,-0.009516889171772241,-0.011552521839619708,-0.013000424421081925,-0.014723342159296946,-0.01462183013737374,-0.01640294178674952,-0.017302867364322582,-0.01604290372317047,-0.016739052071152394,-0.017042396484019607,-0.016508291542122515,-0.01430268257370852,-0.013910784600351658,-0.013091274205048894,-0.011241104742218788,-0.01081786324200849,-0.009247452631138825,-0.011015761650614441,-0.011011179897980719,-0.008701679421239044,-0.008659095399219682,-0.009024988603501883,-0.008096617660044436,-0.008947800814508926,-0.010999629267508141,-0.012529015699452488,-0.013482061496790312,-0.01757322896371549,-0.021488971373565913,-0.025200814333014705,-0.0286510818415856,-0.03333486440791581,-0.036256693436916544,-0.03727020950801075,-0.039920372230466454,-0.04323790335555095,-0.04735791798927505,-0.04785579668293912,-0.04850173061092598,-0.05007878850612687,-0.053100536103233884,-0.05718131785678659,-0.059510779283523565,-0.05911374498060532,-0.05910954058472403,-0.05875708021139615,-0.0577988568349734,-0.05772943541460782,-0.057369959566757084,-0.056804511098006556,-0.05878800207645334,-0.06329560945548435,-0.06612912783785631,-0.07017858439767714,-0.0730350986255452,-0.0733393551112108,-0.07479100834379532,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.0,1.0,0.999,0.999,0.999,0.999,0.999,1.0,1.0,1.0,0.999,0.999,0.999,0.999,1.0,1.0,0.999,0.999,1.0,0.999,1.0,1.0,0.999,0.999,0.999,0.999,0.999,0.999,1.0,1.0,1.0,0.999,0.999,0.999,0.999,1.0,0.999,0.999,1.0,1.0,0.999,1.0,0.999,0.999,1.0,0.999,0.999,1.0,1.0,0.999,0.999,1.0,0.999,1.0,0.999,0.999,1.0,0.999,1.0,0.999,0.999,0.999,1.0,0.999,0.999,0.999,1.0,0.999,0.999,1.0,0.999,0.999,1.0,0.999,0.999,1.0,0.999,1.0,1.0,0.999,1.0,1.0,0.999,0.999,0.999,1.0,0.999,0.999,1.0,1.0,1.0,1.0,1.0,0.999,1.0,0.999,0.999,1.0,1.0,0.999,0.999,0.999,1.0,1.0,0.999,1.0,1.0,1.0,1.0,0.999,1.0,0.999,1.0,1.0,0.999,1.0,0.999,0.999,0.999,0.999
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
