,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
FR_Start,GMT,23:21:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:22:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.048597554781880416,0.046488518586885186,0.04620051135797594,0.043353258412023726,0.03951776771410955,0.036692147851616334,0.03381916131401276,0.03215582163763745,0.03336229075779263,0.033629007121512296,0.035416242033494263,0.03851374208895089,0.04147346873576827,0.04242946769343987,0.0419719065896404,0.04115344271002756,0.041125542754510046,0.0409066361163388,0.04133462283951687,0.039670213731049654,0.03549107783576511,0.030294224529025332,0.026471496739247907,0.026230828685766646,0.028309312733656448,0.03018563744993415,0.029969813831707836,0.026919252678524797,0.023267070279962804,0.020803139989750554,0.017664631796849985,0.016573647592778736,0.014417742772475957,0.013841548038961971,0.012292847663437925,0.01159559474488108,0.00753764765813062,0.0038575553736102538,-0.0020928392640233856
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.0
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.876220703125,998.8489379882812,998.8806762695312,998.87841796875,998.8746948242188,998.8668823242188,998.871826171875,998.8471069335938,998.872802734375,998.8489379882812,998.8734130859375,998.8624267578125,998.8611450195312,998.8630981445312,998.8837890625,998.8514404296875,998.882568359375,998.8696899414062,998.8668823242188,998.8840942382812,998.8887939453125,998.8840942382812,998.864013671875,998.8533325195312,998.8709106445312,998.8589477539062,998.882568359375,998.8828735351562,998.8665161132812,998.8840942382812,998.8731079101562,998.8731079101562,998.84521484375,998.8592529296875,998.8561401367188,998.8743286132812,998.8517456054688,998.8746948242188,998.868408203125
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,0.0688976379,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.05577427830000001,0.05577427830000001,0.05577427830000001,0.05577427830000001,0.05577427830000001,0.05577427830000001,0.05577427830000001,0.05577427830000001,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0721784778,0.0853018374,0.0853018374,0.0853018374,0.0853018374,0.0853018374,0.0853018374
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.02780422754585743,0.027953945100307465,0.027953945100307465,0.027953945100307465,0.027953945100307465,0.027953945100307465,0.027953945100307465,0.027953945100307465,0.027953945100307465,0.02782897651195526,0.02782897651195526,0.02782897651195526,0.02782897651195526,0.02782897651195526,0.02782897651195526,0.02782897651195526,0.02782897651195526,0.027815228328108788,0.027815228328108788,0.027815228328108788,0.027815228328108788,0.027815228328108788,0.027815228328108788,0.027815228328108788,0.027815228328108788,0.02796473354101181,0.02796473354101181,0.02796473354101181,0.02796473354101181,0.02796473354101181,0.02796473354101181,0.02796473354101181,0.02796473354101181,0.028125658631324768,0.028125658631324768,0.028125658631324768,0.028125658631324768,0.028125658631324768,0.028125658631324768
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
