,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
FR_Start,GMT,23:33:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:33:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.04986684234311376,-0.047271486487607754,-0.0457158294563259,-0.04381823831902072,-0.04577691236189492,-0.048411070269215296,-0.04767535598935336,-0.04713062089246279,-0.04486156099027628,-0.04480160557168415,-0.04615412550486988,-0.04606593402353134,-0.045681375409845175,-0.04617692274154891,-0.04775920252087852,-0.04888708060436016,-0.05103576828580275,-0.05266209950075783,-0.05450815928883478,-0.05608131834018063,-0.05624698864881713,-0.05602575064868555,-0.05555892826297023,-0.05536857546165269,-0.05528259923250452,-0.05579422776735016,-0.05659134578240868,-0.05636114899686724,-0.056822862552703544,-0.05794460515149795,-0.05750242859222051,-0.05813039911658373,-0.05752329779561386,-0.055995018225884624,-0.05559162232977972,-0.055511469922252005,-0.056521698253543674,-0.05691883644415085,-0.056137399359079826,-0.05599787208180987,-0.0555092088372577,-0.05551074270842951,-0.05626485733131264,-0.057278898951892,-0.05714736491562892,-0.05766152953229249,-0.058402419863479216,-0.057578523268839533,-0.057473364483482954,-0.05787610649825167,-0.05784655961731263,-0.058186981240805985,-0.05822429525425248,-0.05824548834279366,-0.058525569552141804,-0.058979534308592235,-0.05761279398410451,-0.056578194823198584,-0.05510373518737424,-0.05462675014126562,-0.05311766534982584,-0.05181269542296622
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8436279296875,998.8514404296875,998.8602905273438,998.885986328125,998.8652954101562,998.850830078125,998.8862915039062,998.864013671875,998.85302734375,998.8787231445312,998.8480224609375,998.8480224609375,998.8775634765625,998.885986328125,998.8615112304688,998.8872680664062,998.8642578125,998.8756103515625,998.8712158203125,998.8483276367188,998.8558349609375,998.8589477539062,998.8658447265625,998.864013671875,998.8775634765625,998.8743286132812,998.8483276367188,998.8787231445312,998.8828735351562,998.8458251953125,998.8818359375,998.8477172851562,998.8511352539062,998.8794555664062,998.8715209960938,998.8853759765625,998.8646850585938,998.8493041992188,998.8768310546875,998.8630981445312,998.8740234375,998.8862915039062,998.8818359375,998.8536376953125,998.8809814453125,998.8840942382812,998.843017578125,998.8812866210938,998.8790893554688,998.8681030273438,998.87841796875,998.871826171875,998.8734130859375,998.8806762695312,998.8790893554688,998.8427124023438,998.8715209960938,998.858642578125,998.884765625,998.8536376953125,998.8809814453125,998.8844604492188
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,-0.08202099750000001,-0.08202099750000001,-0.098425197,-0.098425197,-0.11482939650000001,-0.11482939650000001,-0.11482939650000001,-0.11482939650000001,-0.131233596,-0.131233596,-0.131233596,-0.1410761157,-0.1410761157,-0.1410761157,-0.1410761157,-0.1476377955,-0.1476377955,-0.1476377955,-0.1541994753,-0.1541994753,-0.1541994753,-0.16076115510000002,-0.16076115510000002,-0.1673228349,-0.1673228349,-0.1673228349,-0.18044619450000002,-0.18044619450000002,-0.18044619450000002,-0.18044619450000002,-0.19356955409999999,-0.19356955409999999,-0.19356955409999999,-0.2001312339,-0.2001312339,-0.2001312339,-0.2001312339,-0.2099737536,-0.2099737536,-0.2099737536,-0.22637795310000003,-0.22637795310000003,-0.22637795310000003,-0.2329396329,-0.2329396329,-0.2329396329,-0.2329396329,-0.2427821526,-0.2427821526,-0.2427821526,-0.2493438324,-0.2493438324,-0.2493438324,-0.2493438324,-0.2493438324,-0.2493438324,-0.2559055122,-0.2559055122,-0.2559055122,-0.2657480319,-0.2657480319,-0.2657480319
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.026750817894935608,0.026840751990675926,0.026974216103553772,0.026974216103553772,0.026964332908391953,0.026964332908391953,0.026964332908391953,0.026964332908391953,0.02704971842467785,0.02704971842467785,0.02704971842467785,0.027022873982787132,0.027022873982787132,0.027022873982787132,0.027022873982787132,0.027141982689499855,0.027141982689499855,0.027141982689499855,0.02713039703667164,0.02713039703667164,0.02713039703667164,0.02719065546989441,0.02719065546989441,0.02717028558254242,0.02717028558254242,0.02717028558254242,0.027263443917036057,0.027263443917036057,0.027263443917036057,0.027263443917036057,0.027219248935580254,0.027219248935580254,0.027219248935580254,0.02721959352493286,0.02721959352493286,0.02721959352493286,0.02721959352493286,0.027134878560900688,0.027134878560900688,0.027134878560900688,0.027124106884002686,0.027124106884002686,0.027124106884002686,0.027148853987455368,0.027148853987455368,0.027148853987455368,0.027148853987455368,0.02719428762793541,0.02719428762793541,0.02719428762793541,0.027234850451350212,0.027234850451350212,0.027234850451350212,0.027050703763961792,0.027050703763961792,0.027050703763961792,0.027152657508850098,0.027152657508850098,0.027152657508850098,0.027152657508850098,0.027065139263868332,0.027065139263868332
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:33:05,23:33:05,23:33:06,23:33:06,23:33:06,23:33:06,23:33:07,23:33:07,23:33:07,23:33:07,23:33:08,23:33:08,23:33:08,23:33:08,23:33:08,23:33:08,23:33:08,23:33:08,23:33:08,23:33:09,23:33:09,23:33:09,23:33:09,23:33:09,23:33:09,23:33:09,23:33:09,23:33:09,23:33:09,23:33:10,23:33:10,23:33:10,23:33:10,23:33:10,23:33:10,23:33:10,23:33:10,23:33:10,23:33:10,23:33:11,23:33:11,23:33:11,23:33:11,23:33:11,23:33:11,23:33:11,23:33:11,23:33:11,23:33:11,23:33:12,23:33:12,23:33:12,23:33:12,23:33:12,23:33:12,23:33:12,23:33:12,23:33:12,23:33:12,23:33:13,23:33:13,23:33:13
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
