,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196
FR_Start,GMT,23:14:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:15:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.0022658189500380016,0.0025356509895754047,0.0044823924619442086,0.001850051443359966,-0.004346818264013948,-0.007601154355147924,-0.006817932846243564,-0.005170811871421966,-0.0021777550366704297,-0.0026026258930607407,-0.005325720255753666,-0.011288750233553094,-0.0162861048029494,-0.020975711190900068,-0.029342445244836344,-0.03213129192096954,-0.033559325981924404,-0.037156534987682385,-0.03844920644548517,-0.03988933120011902,-0.04077364765243074,-0.042141188523227256,-0.044220210342683273,-0.046416729138316126,-0.04789212070782054,-0.049418793073891666,-0.05011012897746005,-0.050604781041726846,-0.05025702616960332,-0.05029670210021278,-0.05034998731807173,-0.05070150353563847,-0.050966731860990266,-0.0512041366188311,-0.05025881975999745,-0.04969745957735824,-0.04915601527579045,-0.04935139746346018,-0.0497238623279471,-0.04964415908189798,-0.05014253276984459,-0.05158622637214512,-0.05306635094253626,-0.05487584226411078,-0.056006335872937185,-0.056288537613347546,-0.056181545515833424,-0.05672691310541835,-0.05654786572907232,-0.0563039129913088,-0.05506162400711551,-0.05405201289091688,-0.05220423590045236,-0.050542619537505135,-0.049403649915470374,-0.04899251133102011,-0.0479613801856122,-0.04747470608475097,-0.04715451200539582,-0.04698138928283891,-0.04690399295458803,-0.047087611389246865,-0.046878341861983766,-0.047209939142958825,-0.048373475147904646,-0.05005135910072979,-0.05200103769195099,-0.05439486059749872,-0.05625740186187197,-0.05791390939494018,-0.05874879364044406,-0.06027718320890274,-0.06117795669334866,-0.06168942634114064,-0.06205376046620887,-0.06233577887540348,-0.0626987746825967,-0.06389931914896275,-0.0648425154767342,-0.0661378299595641,-0.06764793529477157,-0.06941216825021691,-0.0709203547186995,-0.07269003261125274,-0.07281353062922527,-0.07257740002333392,-0.07283967366059181,-0.07274035091893673,-0.07142933106195722,-0.07071456542901546,-0.06959273727565371,-0.06913241703705714,-0.06868408054893035,-0.06869462209383623,-0.06746115134112071,-0.06615345589018688,-0.06520573739242684,-0.06438790906102862,-0.06287333655519728,-0.0618142443438666,-0.06061762316551768,-0.05935074335425124,-0.056955423243774846,-0.05437051421204656,-0.05197994238005821,-0.05042749975609258,-0.04923697739618775,-0.04880197519848682,-0.04842061571451556,-0.04763920001808638,-0.04662800308687147,-0.04604469204666596,-0.045243769908880536,-0.045224963181664427,-0.04492876104741097,-0.044934511536545124,-0.04502065276378747,-0.046286667862819604,-0.04765117460199539,-0.0477052786992847,-0.04584759265660867,-0.04401791351265935,-0.04208233614744991,-0.039826036097879894,-0.03613305486501195,-0.032239723168527336,-0.028622069676692504,-0.026203127339066195,-0.023726269142623015,-0.021205852977076778,-0.018000046950393124,-0.014659717060869467,-0.011716918760186783,-0.009347488072895142,-0.0069362120356076164,-0.004031419441770867,-0.0011932845502221957,0.001508048588130728,0.0040546543817275085,0.0062597469672171285,0.014604010343202438,0.01767504195438456,0.020040197968828864,0.02512926168726599,0.03010906916767443,0.03381025141692711,0.03368972336464981,0.03360430935122995,0.03488867284943881,0.03779372096115751,0.0400017224019371,0.04111643119308706,0.04309907273690086,0.040643458045083194,0.03915772659501024,0.04127575518613821,0.039158056591198594,0.03733077603065539,0.03545651684607519,0.03309308108953871,0.029961035321993474,0.02696811350304354,0.025967219786154013,0.023783045292381944,0.024112968148253113,0.025188853498946878,0.027752163057939056,0.029196510541575776,0.02851428925495064,0.02712615417758441,0.02867744487041105,0.031548326154553705,0.033561529012033714,0.03399714231378716,0.03345539246019311,0.029610744368052017,0.02695370978052579,0.024640149281235226,0.025974363592527902,0.027462948898526095,0.026955298651062325,0.024336778896445782,0.02254324961272292,0.02041553349460247,0.02080015016317363,0.020302842851798657,0.02035141645741272,0.02092458928138702,0.022242794194263966,0.02346943891471289,0.022348629777358707,0.022219850292612333,0.023899352143416507,0.023652441662038816,0.024263640435680793,0.0213645994767983,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.0,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
