,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
FR_Start,GMT,09:19:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,09:19:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.0006407950680727678,-0.001878701529101946,-0.00078840567645485,-0.00022916263516007022,0.0004522729530750483,0.002516093368254765,0.004114261852949741,0.0033041361061934265,0.0031255228046946984,0.004560301735659165,0.003905362807518477,0.0027104574947670046,0.0005191643549207088,-0.0014684002526886384,-0.0034653224388446076,-0.004410740511786962,-0.004066421190258663,-0.0028754657103566106,-0.001578030028069424,-0.00044058773648340577,-0.0012032261628215056,-0.0010326443918179488,0.0013401105105493509,0.002775707939004153,0.0029159868742587047,0.003257282758487191,0.005359487955995416,0.005702664512945514,0.00720499011162445,0.008472971437945544,0.007679804974466586,0.009048597080810624,0.009250039129041088,0.009167807439974696,0.010279667722359883,0.009204690625064169,0.009829015149874078,0.009068750528582465,0.007861290655982145,0.006009743535453652,0.005736724397312373,0.005374596739813755,0.004303738865772018,0.0022755091506107073,-0.00170490888372747,-0.003336044140415371,-0.004519203078427445,-0.003748101290644566,-0.005399343780360336,-0.007841135680450173,-0.009239646540748025,-0.010617464653947693,-0.009378088344444707,-0.006203844314313261
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.0,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8884887695312,998.84326171875,998.882568359375,998.8887939453125,998.8621826171875,998.8662109375,998.8862915039062,998.8536376953125,998.8615112304688,998.8887939453125,998.8511352539062,998.8721923828125,998.8715209960938,998.87060546875,998.8466796875,998.8665161132812,998.8703002929688,998.876220703125,998.8624267578125,998.884765625,998.8690185546875,998.8555297851562,998.8580932617188,998.857421875,998.85498046875,998.8583984375,998.8840942382812,998.8583984375,998.864013671875,998.8897705078125,998.8521118164062,998.8900756835938,998.868408203125,998.8480224609375,998.8806762695312,998.8439331054688,998.8627319335938,998.8611450195312,998.876220703125,998.843017578125,998.8850708007812,998.8699951171875,998.8837890625,998.8884887695312,998.87255859375,998.87255859375,998.8486328125,998.8875732421875,998.8865966796875,998.8630981445312,998.8768310546875,998.8427124023438,998.8480224609375,998.85498046875
Yaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,0.19356955409999999,0.2591863521,0.2723097117,0.2723097117,0.2690288718,0.2690288718,0.2690288718,0.2788713915,0.2788713915,0.2854330713,0.2854330713,0.2887139112,0.2887139112,0.2887139112,0.2985564309,0.2985564309,0.2919947511,0.2919947511,0.3018372708,0.3018372708,0.3018372708,0.2985564309,0.2985564309,0.2919947511,0.2919947511,0.2821522314,0.2821522314,0.2821522314,0.2821522314,0.2821522314,0.2821522314,0.2821522314,0.2821522314,0.2723097117,0.2723097117,0.2591863521,0.2591863521,0.22965879300000003,0.22965879300000003,0.22965879300000003,0.21653543340000003,0.21653543340000003,0.2099737536,0.2099737536,0.2132545935,0.2132545935,0.2132545935,0.2001312339,0.2001312339,0.18044619450000002,0.18044619450000002,0.18044619450000002,0.1673228349,0.1673228349
