,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
FR_Start,GMT,22:48:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:48:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.06007881883345675,-0.06230117205290962,-0.06722674404865746,-0.06897656717054453,-0.06837720853792001,-0.06597895512799155,-0.06701816201345344,-0.06829016898772046,-0.06961321537245345,-0.07093896283709854,-0.07282017333027609,-0.07339954274934288,-0.0750695190157285,-0.07514200206739717,-0.074480738594253,-0.0767985645998301,-0.07771899730164539,-0.0768449962857401,-0.07580859436787926,-0.07482738125700095,-0.07169150081152618,-0.06979055776849297,-0.06825902712520436,-0.06482793453404122,-0.05990788080788758,-0.05841733080236055,-0.05827340357591249,-0.05634861525275019,-0.05124796805699766,-0.04545437469849838,-0.043646261416562276,-0.040658032876735646,-0.0358477823267377,-0.03132909257571437,-0.028627823221346924,-0.026700184097779637,-0.029528391985935255,-0.030779398369437643,-0.027108157163237875,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8743286132812,998.8875732421875,998.8514404296875,998.8665161132812,998.8493041992188,998.8831787109375,998.86083984375,998.8703002929688,998.8539428710938,998.8822631835938,998.8687133789062,998.8565673828125,998.8458251953125,998.8756103515625,998.8787231445312,998.8621826171875,998.8489379882812,998.8872680664062,998.871826171875,998.8630981445312,998.8621826171875,998.8797607421875,998.8681030273438,998.8466796875,998.8615112304688,998.885986328125,998.868408203125,998.8489379882812,998.8565673828125,998.8794555664062,998.854248046875,998.8592529296875,998.8458251953125,998.8561401367188,998.8671875,998.8809814453125,998.8489379882812,998.8448486328125,998.8699951171875,
Yaw,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,-0.7053805785,-0.7283464578000001,-0.7283464578000001,-0.7283464578000001,-0.7283464578000001,-0.7283464578000001,-0.7283464578000001,-0.7283464578000001,-0.4297900269,-0.4297900269,-0.4297900269,-0.4297900269,-0.4297900269,-0.4297900269,-0.4297900269,-0.4297900269,-0.4297900269,-0.1706036748,-0.1706036748,-0.1706036748,-0.1706036748,-0.1706036748,-0.1706036748,-0.1706036748,-0.09186351720000001,-0.09186351720000001,-0.09186351720000001,-0.09186351720000001,-0.09186351720000001,-0.09186351720000001,-0.09186351720000001,-0.09186351720000001,-0.09186351720000001,-0.0853018374,-0.0853018374,-0.0853018374,-0.0853018374,-0.0853018374,-0.0853018374,-0.0853018374
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027419092133641243,0.027502479031682014,0.027502479031682014,0.027502479031682014,0.027502479031682014,0.027502479031682014,0.027502479031682014,0.027502479031682014,0.027682654559612274,0.027682654559612274,0.027682654559612274,0.027682654559612274,0.027682654559612274,0.027682654559612274,0.027682654559612274,0.027682654559612274,0.027682654559612274,0.02736182138323784,0.02736182138323784,0.02736182138323784,0.02736182138323784,0.02736182138323784,0.02736182138323784,0.02736182138323784,0.027265753597021103,0.027265753597021103,0.027265753597021103,0.027265753597021103,0.027265753597021103,0.027265753597021103,0.027265753597021103,0.027265753597021103,0.027265753597021103,0.027321048080921173,0.027321048080921173,0.027321048080921173,0.027321048080921173,0.027321048080921173,0.027321048080921173,0.027321048080921173
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
