,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
FR_Start,GMT,21:46:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,21:46:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.07180132843184397,-0.07337126696483307,-0.0778307010114044,-0.08025097250034492,-0.07938409695769195,-0.0787251495689068,-0.07834063678802457,-0.07640952353791874,-0.07266538678481486,-0.06914864184965137,-0.06760749853961673,-0.06618951102928519,-0.06612085348898526,-0.06539590686252862,-0.060709264329232654,-0.057245422671895294,-0.05887666105239205,-0.0607114398596596,-0.06468162400178835,-0.07099987768905312,-0.07500123424890061,-0.07483942611787599,-0.07435662336118744,-0.07151615672573838,-0.06836112427925785,-0.06385729963431191,-0.06012830603962932,-0.058355468739124575,-0.059321887020891535,-0.05746620845502801,-0.05248143269867264,-0.048706875185834615,-0.045101245166233,-0.04278566802356914,-0.03981605982422261,-0.03697956842063516,-0.03601572288692929,-0.033904211720521375,-0.034324467977435144,-0.03434430135945948,-0.034638001022617895,-0.03693999637771463,-0.038693898619152234,-0.04007678736822764,-0.041533424154360406,-0.04396051250900673,-0.04352928693435034,-0.042632980620528296,-0.04184560360406684,-0.041568602359143364,-0.04027048596423268,-0.038046384987189624,-0.0371572683125454,-0.03625214682276584,-0.03623981474298611,-0.03401983871829752,-0.03272248620345248,-0.03014617846126333,-0.025597341419569358,-0.025265953441732283,-0.02357001441967562,-0.02135213600964728,-0.020514758459609143,-0.022394086752304948,-0.019544823274019966,-0.016983246195016663,-0.015892536987769046,-0.015673349241733643,-0.010763390190647473,-0.003588210880524747,-0.001144710849123125,0.0011982745967510041,0.004963409648979327,0.00959094581637613,0.011176219241683,0.010992452614291432,0.009751561530618277,0.010280127578159399,0.010578940654477221,0.008891886321464041,0.00667042149452751,0.00667115252775033,0.00511169137374158,0.008216477317264303,0.010992923164411868,0.009434301514595258,0.009142413774952549,0.009126198128919094,0.008241142240703828,0.006434655259427475,0.004644456874730846,0.0005050400692794705,-0.005158753642645769,-0.008433099954039278,-0.013441316134088954,-0.018571167992511114,-0.018744125716973842,-0.01815320032027401,-0.018472884127745313,-0.01791605680941562,-0.01648094463577252,-0.016871337765400066,-0.017594249415361835,-0.017892037364631568,-0.01485924864505576,-0.011724205412132946,-0.010115229552269261,-0.010329441383557068,-0.009588045363766886,-0.007117820701813745,-0.007128713631549804,-0.008011418296923024,-0.012380065961572831,-0.0157561798127715,-0.01581976977271596,-0.015371196481768833,-0.013716187681389415,-0.014728127104028129,-0.015815050521670423,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
