,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
FR_Start,GMT,22:41:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:42:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.05470501423727107,-0.05195703208912947,-0.05169775897276942,-0.051137242113722677,-0.052250716474686563,-0.05462564404293057,-0.058133173528982146,-0.057286366643413716,-0.05552433366255742,-0.05540746612355467,-0.05628481598966774,-0.056151589195179194,-0.055407539456040975,-0.054862404085996005,-0.05474947205709145,-0.055096133052960974,-0.05510407740564365,-0.05579652551858761,-0.05661835047048926,-0.05730142424726766,-0.058276520206580314,-0.05891010677718614,-0.060471722072979996,-0.06232542066171337,-0.06492319954478759,-0.06671828714384437,-0.06918970804198031,-0.0698992059579894,-0.070369254973102,-0.07131534793408234,-0.07189916619065144,-0.07203932901613601,-0.0713453348099392,-0.06983550447155536,-0.06996500353132357,-0.06973598006556295,-0.07065966995197814,-0.07197247423279099,-0.07205647659584954,-0.07306748714032844,-0.07466059262794834,-0.07676656108059995,-0.07829798783619962,-0.07982631018321254,-0.08033396043067631,-0.07939375851276219,-0.07883868659082335,-0.07925849674177878,-0.07854733051170633,-0.07867546680943743,-0.0787087414250968,-0.07858047679551468,-0.07811542661155164,-0.07799596799136624,-0.07666876609907616,-0.07490366537587624,-0.07336998975736332,-0.07201140156093612,-0.07140384191192686,-0.06943278690094874,-0.06841996137743388,-0.06783749366082084,-0.0675155762680376,-0.06625870634115134,-0.06624394817828312,-0.06581848531484194,-0.06575365328591075,-0.06592503130639774,-0.06606962463626304,-0.0657055593969779,-0.06439389788074326,-0.06213316732679252,-0.059902869754656966,-0.05855583142482229,-0.057213663594286146,-0.05698998728898503,-0.057819353264894714,-0.05905851950737965,-0.059265714336384466,-0.060420126557826255,-0.061661706661318615,-0.0634414555486573,-0.06541597551961317,-0.0677897419901574,-0.07044967015537229,-0.07254054433792681,-0.07373214835200459,-0.07522483722171541,-0.07511277296056543,-0.0733866606759159,-0.06983712389729452,-0.06701640814482272,-0.06186548541866988,-0.05944261673750617,-0.058186626800455526,-0.05937733249157612,-0.0557873589577999,-0.05122740746115083,-0.04751451340273172,-0.04417547141499874,-0.04165575801911289,-0.038280703669565264,-0.036496948995162364,-0.03530556497854349,-0.03348716681540357,-0.034799427213609686,-0.0342650931076929,-0.03529693618932199,-0.038254316196577716,-0.03951194694800936,-0.04046984949480454,-0.04261718358077081,-0.04406920347578684,-0.04269188188462984,-0.04293279743525237,-0.04148082337304028,-0.04090803860013932,-0.038978856438839436,-0.038032913198351954,-0.03681130091977548,-0.036779716006821304,-0.03516392633677209,-0.03333967685232936,-0.03138369472280648,-0.028700703490649723,-0.024900933352365113,-0.024834512452897382,-0.02277514985081074,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
