,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
FR_Start,GMT,18:08:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,18:08:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.057821211021214354,-0.06166749992773645,-0.0646475793950228,-0.0673849833320154,-0.07222774461760707,-0.07389704866953492,-0.07491010030154921,-0.0767116839366842,-0.07716904643166661,-0.07929641574823726,-0.07629131768104098,-0.07329662060481851,-0.06991693408655282,-0.06652471993521061,-0.0641227815678455,-0.06251937286590022,-0.06076623144900799,-0.05830564542572312,-0.05707001747570224,-0.05595942752586622,-0.057236732772268546,-0.06107860339649097,-0.06662986649848614,-0.07013605766666271,-0.07553535141287875,-0.07687459816604388,-0.07794464747303613,-0.07828714685030803,-0.07560261563593895,-0.07349474664968401,-0.07117980505523477,-0.06926725103520379,-0.06934989674726576,-0.0682917823024191,-0.06806508103205804,-0.06710119883210902,-0.06622676393232643,-0.06585930095450934,-0.06660551400199347,-0.06579705389572028,-0.06338755006018505,-0.06191665927202739,-0.058905566274075956,-0.054390161207334885,-0.05105278753366527,-0.0489432807885496,-0.04872494247714719,-0.04631081563945469,-0.046494883235592116,-0.04563984172291607,-0.0463858256063805,-0.04765841618501768,-0.04648282004159549,-0.04191520224460764,-0.03980535633674283,-0.0425686955297241,-0.042752659238172605,-0.04160159281141833,-0.04194827214040943,-0.03907438116880814,-0.03647099235053183,-0.036366985496314244,-0.0354956580606387,-0.03546612645730097,-0.03589786230384121,-0.035940016261383614,-0.035420061433822474,-0.03378492420947068,-0.032127356410871354,-0.03076941292921957,-0.02998467588226497,-0.028974432273371986,-0.02763283276960468,-0.026126693499698025,-0.025022530836734315,-0.023314438482833284,-0.022415861917456148,-0.021542751585707395,-0.020691417946869975,-0.01983620379729909,-0.01936154247435015,-0.018704526174370944,-0.017970287710795833,-0.01708653500197255,-0.016141525222925283,-0.01489453532080804,-0.013914105950877071,-0.013444159295693273,-0.012632999637268112,-0.011390775582880411,-0.009805992568575684,-0.007864442425132985,-0.006423985382670584,-0.005422139871219266,-0.004012611568734655,-0.0018534333313805808,0.0004967355948883444,0.002528024792940065,0.0040885061087764804,0.00556579286472376,0.007062501271339995,0.009274405375374948,0.011716234323647969,0.01422727997242897,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
