,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
FR_Start,GMT,23:24:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:24:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.03204177739935732,0.032620706823506304,0.036010745444421566,0.04261191586383814,0.04953706920773546,0.052079442341888514,0.053934448693294265,0.05470095039532185,0.05620430914178957,0.05635457962830272,0.0572500915068565,0.05857297900453583,0.06021164229927063,0.06145335684565455,0.06275573569133151,0.06364417098495719,0.06525241351995785,0.06653586647312847,0.06779100086450558,0.06806123718756772,0.06758129439784494,0.06634692532217223,0.06505958574722763,0.0632694908682799,0.06094066498975754,0.058568432390385124,0.057195440471440186,0.055591933992846496,0.05527697707522139,0.054644136051559634,0.05340866698859241,0.05187349416515082,0.051248756381225405,0.05040321448104568,0.05002884602743518,0.049674112347031944,0.04883767284171442,0.04808808038881989,0.04713702526293313,0.045583690427050835,0.04493697734139702,0.044074101474767736,0.0427243009546157,0.04004311553493412,0.03754450967302211,0.035346133121069614,0.03405669745922489,0.0330749924095843,0.031530903578016536,0.029248405497715253,0.026448901166906208,0.023737139155957102,0.020638369531831378,0.017771727782053034,0.016041088744134503,0.01472189842597288,0.01296280027232878,0.00988428874754389,0.006122692751659686,0.0016364285636027694,-0.002681063007901056,-0.006519370322587271,-0.010718801747335867,-0.015146936572097569,-0.019281628397402915,-0.02279170618735347,-0.02613418869090211,-0.02941591828507008
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.864990234375,998.882568359375,998.846435546875,998.8483276367188,998.8624267578125,998.8656005859375,998.8505249023438,998.8505249023438,998.8446044921875,998.8446044921875,998.85302734375,998.8505249023438,998.8536376953125,998.8599853515625,998.84326171875,998.8439331054688,998.8589477539062,998.8483276367188,998.8872680664062,998.8555297851562,998.8865966796875,998.8555297851562,998.8853759765625,998.8850708007812,998.8493041992188,998.8743286132812,998.8477172851562,998.8486328125,998.8743286132812,998.882568359375,998.8483276367188,998.8571166992188,998.8737182617188,998.8436279296875,998.8637084960938,998.8740234375,998.8536376953125,998.8850708007812,998.8477172851562,998.8611450195312,998.868408203125,998.885986328125,998.885986328125,998.8627319335938,998.872802734375,998.8511352539062,998.8778686523438,998.849609375,998.8878784179688,998.8536376953125,998.8687133789062,998.8778686523438,998.8502197265625,998.8436279296875,998.8483276367188,998.8872680664062,998.8862915039062,998.88818359375,998.8844604492188,998.8731079101562,998.8790893554688,998.8897705078125,998.8850708007812,998.8781127929688,998.8696899414062,998.8815307617188,998.8872680664062,998.8602905273438
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
