,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
FR_Start,GMT,23:17:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.020614232449517215,-0.02363665073332186,-0.023870648586069933,-0.025310663341974328,-0.02586335654138876,-0.024724920107639815,-0.020476837925390526,-0.015278754771745066,-0.012933141864900152,-0.010179593322720216,-0.00784967662346412,-0.006336683439668489,-0.004968732365276723,-0.004828343431292719,-0.00378286050721152,0.0011090360268124903,0.0029541925267118204,0.007860751356655801,0.012101077100718557,0.014566597025347409,0.016617553891191725,0.01570387236139658,0.01468187722157375,0.01246597420539516,0.012583783608518844,0.014110583542560926,0.013614816213398287,0.014410899934847933,0.010778173561557849,0.00444587937674654
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8865966796875,998.85498046875,998.8771362304688,998.8765258789062,998.8721923828125,998.8527221679688,998.84521484375,998.8884887695312,998.8514404296875,998.8611450195312,998.8656005859375,998.8765258789062,998.875,998.8499145507812,998.8546142578125,998.8872680664062,998.8466796875,998.85302734375,998.8524169921875,998.8455200195312,998.8662109375,998.8589477539062,998.8602905273438,998.850830078125,998.8615112304688,998.8887939453125,998.84326171875,998.8737182617188,998.882568359375,998.8524169921875
Yaw,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,0.0295275591,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.0492125985,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004,0.045931758600000004
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027890771627426147,0.028057534247636795,0.028057534247636795,0.028057534247636795,0.028057534247636795,0.028057534247636795,0.028057534247636795,0.028057534247636795,0.027689816430211067,0.027689816430211067,0.027689816430211067,0.027689816430211067,0.027689816430211067,0.027689816430211067,0.027689816430211067,0.02760501019656658,0.02760501019656658,0.02760501019656658,0.02760501019656658,0.02760501019656658,0.02760501019656658,0.02760501019656658,0.02760501019656658,0.02771770767867565,0.02771770767867565,0.02771770767867565,0.02771770767867565,0.02771770767867565,0.02771770767867565,0.02771770767867565
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:17:19,23:17:19,23:17:19,23:17:20,23:17:20,23:17:20,23:17:20,23:17:21,23:17:21,23:17:21,23:17:21,23:17:22,23:17:22,23:17:22,23:17:22,23:17:23,23:17:23,23:17:23,23:17:23,23:17:24,23:17:24,23:17:24,23:17:24,23:17:25,23:17:25,23:17:25,23:17:25,23:17:26,23:17:26,23:17:26
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
