,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267
FR_Start,GMT,22:13:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:14:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.006792237448595488,-0.008878395435624733,-0.010186436924228305,-0.011710912371230639,-0.013824282821718324,-0.01377959583787825,-0.01354542382047521,-0.014940238265135419,-0.016053613321690776,-0.019673404149949274,-0.02208354200593899,-0.024420963062959957,-0.024112656485186332,-0.02149819446147848,-0.019445821361992462,-0.01735380594261987,-0.01742595747034005,-0.018569670787582454,-0.022718793835087913,-0.028379094705413003,-0.03433867309113583,-0.03927009946370674,-0.04194921629617056,-0.04518881332143797,-0.04947794183513448,-0.0520800228907384,-0.052597108584772984,-0.053293308876599374,-0.05344290103761424,-0.05301246378718559,-0.05517402437549439,-0.05714058777168654,-0.05661565550161768,-0.05522394546554424,-0.054260478816350925,-0.053276711290533095,-0.05240447636533957,-0.05263658590656538,-0.05385001244635843,-0.05585778869985212,-0.055931041742626954,-0.055322626547944176,-0.0554990217327023,-0.057766193323366535,-0.0601274016056316,-0.05852414567969945,-0.054095016283092275,-0.049342866450887084,-0.045098553252881673,-0.042693782418233156,-0.042881868023515866,-0.04404340571820997,-0.04278413415239733,-0.0413366853156941,-0.040838837177232655,-0.038752873215740086,-0.034305325142990145,-0.029421604608278723,-0.026036711483485624,-0.023349323357671033,-0.020899019160069712,-0.019644306430488825,-0.020505741619314302,-0.019496022032146343,-0.020970810136398906,-0.020854941752522022,-0.020015449782462186,-0.01899865666588638,-0.020317348934245204,-0.020574687906279043,-0.018267165115027316,-0.017613172252347927,-0.017847451212960157,-0.01821053563024099,-0.01892266129367589,-0.019258831160723886,-0.01900165413126396,-0.019197526729935827,-0.02058095172281731,-0.022234415957704,-0.02245796240339396,-0.022031833436535534,-0.02160640876709763,-0.02268052038827897,-0.02404456727165524,-0.02370761824694029,-0.022539853401951075,-0.02403846692545102,-0.025600289996622737,-0.025439687268341706,-0.02611637500777133,-0.026400101452792715,-0.026721661349705234,-0.026625461349758506,-0.02646288628314799,-0.026044747501776183,-0.02520499886801429,-0.024260250335949474,-0.022688157661175264,-0.021307643051343878,-0.020100385606960952,-0.018643160633177638,-0.017417258404152515,-0.016251811171282455,-0.014736354092335096,-0.012940676777867647,-0.011042705992169841,-0.009837640119695245,-0.009025867065577372,-0.008312937800313416,-0.0079735290817871,-0.008511235718193698,-0.009338922685719096,-0.00970077801997431,-0.009487915200882428,-0.009298992383047777,-0.008989818801399646,-0.009471101436757575,-0.009922784483451932,-0.010460609521268704,-0.010456267626975593,-0.010374178783481475,-0.010120533171565017,-0.010563857078701049,-0.011289256686036616,-0.01196678392965838,-0.012597237064234936,-0.012789310887340364,-0.012238820718035242,-0.012165391982845311,-0.011558528228575853,-0.01165899679032939,-0.011161421357051378,-0.011022412754345989,-0.010776396012645099,-0.01027097171169261,-0.009552094112357497,-0.008466958174068806,-0.007879349544613995,-0.0069183937691964445,-0.0065250757427975535,-0.0064635077733868505,-0.006379107046874066,-0.006488010754252458,-0.006966458630686789,-0.007312385537813232,-0.00787145713577578,-0.008136163731042739,-0.00782923901230786,-0.006989468989904132,-0.006635385371436761,-0.006056254282950447,-0.00534754889250946,-0.005449799968396174,-0.005418016064684897,-0.005440914897412655,-0.005254674826368539,-0.00485687320592436,-0.004358636634449533,-0.004209312213397678,-0.004461035903068981,-0.004441144848099689,-0.004404290690452711,-0.00491456868534229,-0.005045543179457285,-0.0044484884091107405,-0.0028863221648195354,-0.0020289452798128013,-0.0019718672064579267,-0.0023002258269246784,-0.0023762339941262676,-0.002568513300969353,-0.0026380741294469044,-0.0032505480098884553,-0.002895560530333413,-0.0021668825407261264,-0.0014167020911510743,-0.0013481477701450147,-0.0006197100685608763,0.0012262242999577983,0.00217668350390835,0.00437643122057867,0.005707020157079806,0.00769100727562923,0.008213725057387794,0.008012241759633786,0.009654205016252165,0.008897744517687453,0.008972384766661493,0.008984915455258289,0.009371606822087732,0.00664282327163592,0.007013344825235848,0.006909729077611864,0.00521076852795555,0.004599758050749754,0.0031214851256377296,0.0029088593003362127,0.0012161495812570502,-0.0008747543926200306,7.09909611557594e-05,0.00199776331359325,0.003412982522566896,0.004331070494520699,0.005114568146068789,0.007187040457841987,0.00936529488110533,0.009204836526156706,0.009102643887095014,0.006673975828472944,0.0071379474137832875,0.00733812600438518,0.00956271815631045,0.011013612855989788,0.013685768449415407,0.014747844376282487,0.01496265661730189,0.016350269200703222,0.01869748167240559,0.021107970913225506,0.023364681930270838,0.02617168909108462,0.02702018873487851,0.025495916479973634,0.024372577371842043,0.025285125303619774,0.026485720186070167,0.028552376315023564,0.029912626714473593,0.0324440488640056,0.0320425871122269,0.032658473053951656,0.03097484472303288,0.029720177826255932,0.028887600498550294,0.028901756723926777,0.027546437934180535,0.024010447804643262,0.02251435050207954,0.020059473718405284,0.018822848141018676,0.017814850339518674,0.0171733255272707,0.016003973339505075,0.015246428895127215,0.013825367531411536,0.01245683438040975,0.01334074521240662,0.012030082851297828,0.012102595694289054,0.011449956427085982,0.008705779165551345,0.00561313013045158,0.004028753882281809,0.004803654063691094,0.0056604589934986784,0.006386583904956573,0.005736944012831245,0.006101964866078482,0.005889173087832705,0.004452333017481118,0.005195044438744336,0.0051974181960483205,0.004694965770491213,0.0033877145158155474,0.0023243911728012727,0.0017188796772180184,
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.0,0.999,0.999,0.999,1.0,0.999,0.999,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,1.0,0.999,0.999,0.999,0.999,0.999,0.999,1.0,1.0,0.999,1.0,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,1.0,0.999,1.0,1.0,0.999,1.0,0.999,1.0,0.999,0.999,1.0,1.0,1.0,0.999,1.0,1.0,0.999,0.999,1.0,1.0,1.0,0.999,1.0,0.999,1.0,1.0,1.0,0.999,0.999,1.0,0.999,0.999,1.0,1.0,1.0,1.0,0.999,0.999,1.0,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.999,0.999,0.999,0.999,1.0,1.0,0.999,0.999,0.999,0.999,0.999,1.0,1.0,0.999,1.0,1.0,1.0,1.0,0.999,0.999,1.0,0.999,0.999,1.0,0.999,0.999,1.0,1.0,0.999,1.0,0.999,0.999,1.0,0.999,1.0,1.0,0.999,0.999,1.0,0.999,0.999,1.0,1.0,0.999,1.0,1.0,1.0,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,1.0,0.999,0.999,0.999,0.999,1.0,1.0,0.999,1.0,0.999,0.999,0.999,1.0,0.999,1.0,0.999,1.0,0.999,0.999,0.999,1.0,0.999,0.999,0.999,0.999,0.999,0.999,1.0,0.999,0.999,0.999,1.0,0.999,0.999,1.0,0.999,0.999,0.999,1.0,0.999,0.999,1.0,0.999,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.999,0.999,1.0,0.999,0.999,0.999,0.999,0.999,0.999,1.0,1.0,0.999,1.0,1.0,0.999,0.999,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,1.0,1.0,1.0,0.999,1.0,0.999,0.999,1.0,1.0,1.0,0.999,0.999,1.0,0.999,0.999,1.0,1.0,0.999,0.999,0.999,1.0,0.999,1.0,1.0,0.999,1.0,0.999,1.0,0.999,0.999,0.999,0.999,1.0,0.999,1.0,0.999,0.999,0.999,1.0,0.999,0.999,1.0,0.999,0.999,0.999,0.999,0.999,1.0,0.999
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
