,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
FR_Start,GMT,22:31:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,22:32:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,-0.04772657567551481,-0.04099735451293448,-0.033039123657222,-0.02899576286032498,-0.02301386848236448,-0.020275896218603057,-0.018445321807216808,-0.015615060609444743,-0.012557069194863203,-0.012521622868177202,-0.01420397093610596,-0.012664008584652796,-0.012854975545543107,-0.012240809861726175,-0.010168135121735582,-0.007391699205028871,-0.004979559601327137,-0.0011282794069711265,-0.00036127504798910015,-0.00039885830528748196,0.0029940491149568057,0.002375053226514801,-0.002783808505160257,-0.008581649418764539,-0.014681194312795066,-0.0192037859631937,-0.022008449539966092,-0.022894383890256845,-0.026411599375540763,-0.02844530171846235,-0.03188335784030389,-0.03565797951906743,-0.04171528566486826,-0.04632166884742733,-0.04527868533892092,-0.044133800229657814,-0.046711317957870944,-0.04840974111790108,-0.04858632880043574,-0.047861553283113804,-0.045303077557177,-0.04304679889624883,-0.03702940395611767,-0.03249101526596155,-0.02881627548906114,-0.03075425449319696,-0.03518766772921225,-0.03931817807503827,-0.04119993856186308,-0.04114876776402584,-0.040097464073844444,-0.0389042650781896,-0.036566752355560755,-0.038326206477315446,-0.04020661336866394,-0.041193796966135315,-0.04000216239685491,-0.03993640454528416,-0.04151784100102131,-0.04256917830192559,-0.04407742588081341,-0.044152078351868504,-0.04464707263440471,-0.04549651948948,-0.04679433338788468,-0.04775077234047409,-0.04987328643534752,-0.052375864473600875,-0.054124104835991935,-0.05599140048989375,-0.05654393633001466,-0.05608837659198716,-0.051880307975336354,-0.049924597787116845,-0.04689956856124783,-0.04331009613279468,-0.036952068738272045,-0.027720856197328773,-0.02249986275275457,-0.01833097201691042,-0.013152196695804131,-0.006551075928591821,-0.0009745682136723044,0.004788352400156181,0.009099654824398156,0.01466695253285123,0.020345930270781274,0.02484203819930409,0.024264697645691644,0.024739358968640584,0.02709303539345842,0.030158217211097852,0.03271565100462511,0.03710688278341564,0.03892111016139714,0.040375553083981386,0.040592556133029055,0.0427949934714105,0.048748399706202934,0.05402968925987855,0.06096851911247112,0.06515178912667093,0.06812048372545894,0.07114587044719868,0.07212250638872367,0.07607454074049276,0.08114168721208648,0.0828269838570686,0.08601343927392942,0.08584809285044075,0.08565887670266088,0.08298772255600133,0.08143102053678968,0.07875858918266036,0.07392569722751677,0.0703422747291835,0.06720082712579034,0.06343182454878968,0.06267154999705721,0.06024167195241116,0.059856273070652784,0.06265044246308338,0.06195145553677753,0.05656910159489718,0.04865837491270686,0.040180225895676394,0.031359137506456206,0.02449436888174792,0.01784658955624611,0.008955593918938609,0.0047031022390104016,0.0005241988974633409,-0.00399741264706857,-0.005799951514225651,-0.007846673047046015,-0.01230408663084372,-0.014982401389238611,-0.013946723629679997,-0.014959203879405187,-0.016624421172981848,-0.017355403979717195,-0.017580881514213095,-0.017160811644035347,-0.01582993548862953,-0.017480684893762928,-0.020294924471038207,-0.021299600922012794,-0.020048994811664802,-0.02224965842053383,-0.022859393599970034,-0.023871543853506864,-0.022371899091918303,-0.020400611861400214,-0.020112626021132805
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
