,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
FR_Start,GMT,23:45:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:45:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.038824494610694704,0.04274897122521568,0.04585718393471288,0.05038478358282186,0.050010849013088644,0.04943137876185319,0.04819478221190907,0.045702311834684296,0.04242868548025266,0.037533638131927886,0.03509618545255093,0.037479784587300106,0.040301869212849534,0.04553993232137058,0.048211318687570094,0.05177974469245467,0.05529315911053196,0.058910143443429284,0.05773389036315065,0.05801703320380189,0.057681231526945535,0.05554365066165738,0.05151113390617222,0.047251054223611956,0.04315580152609572,0.041402763996892425,0.038152402373739985,0.037372129441889,0.03529348650694555,0.03361248286793232,0.03243137456595646,0.032235677659699695,0.03147327646586448,0.02884749373958381,0.028108840049229283,0.02812690122950133,0.023667531348855516,0.019375787309814246,0.017902019749329378,0.018720265159243438
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8611450195312,998.8486328125,998.8615112304688,998.8844604492188,998.8446044921875,998.864013671875,998.8800048828125,998.8790893554688,998.8890991210938,998.8809814453125,998.846435546875,998.846435546875,998.8737182617188,998.8642578125,998.8521118164062,998.8656005859375,998.84521484375,998.8812866210938,998.850830078125,998.8658447265625,998.8677978515625,998.8812866210938,998.8486328125,998.87255859375,998.8746948242188,998.8652954101562,998.8446044921875,998.8687133789062,998.8489379882812,998.8693237304688,998.8605346679688,998.8806762695312,998.868408203125,998.8611450195312,998.850830078125,998.8815307617188,998.8637084960938,998.8499145507812,998.8466796875,998.8850708007812
Yaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,0.5610236229000001,0.5610236229000001,0.5839895022,0.5839895022,0.5839895022,0.5839895022,0.5839895022,0.5839895022,0.5839895022,0.5839895022,0.5183727042,0.5183727042,0.5183727042,0.5183727042,0.5183727042,0.5183727042,0.5183727042,0.5183727042,0.5183727042,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.19028871420000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.0787401576,0.0787401576,0.0787401576,0.0787401576,0.0787401576
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.0151614248752594,0.0151614248752594,0.015237495303153992,0.015237495303153992,0.015237495303153992,0.015237495303153992,0.015237495303153992,0.015237495303153992,0.015237495303153992,0.015237495303153992,0.015427639707922935,0.015427639707922935,0.015427639707922935,0.015427639707922935,0.015427639707922935,0.015427639707922935,0.015427639707922935,0.015427639707922935,0.015427639707922935,0.01580287702381611,0.01580287702381611,0.01580287702381611,0.01580287702381611,0.01580287702381611,0.01580287702381611,0.01580287702381611,0.01586800068616867,0.01586800068616867,0.01586800068616867,0.01586800068616867,0.01586800068616867,0.01586800068616867,0.01586800068616867,0.01586800068616867,0.01586800068616867,0.016061129048466682,0.016061129048466682,0.016061129048466682,0.016061129048466682,0.016061129048466682
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:45:34,23:45:34,23:45:35,23:45:35,23:45:35,23:45:35,23:45:36,23:45:36,23:45:36,23:45:36,23:45:37,23:45:37,23:45:37,23:45:37,23:45:38,23:45:38,23:45:38,23:45:38,23:45:39,23:45:39,23:45:39,23:45:39,23:45:40,23:45:40,23:45:40,23:45:40,23:45:41,23:45:41,23:45:41,23:45:41,23:45:42,23:45:42,23:45:42,23:45:42,23:45:43,23:45:43,23:45:43,23:45:43,23:45:44,23:45:44
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
