,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
FR_Start,GMT,23:06:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:06:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.0231680683679353,0.014213860127435765,0.0075430880119581245,0.0001573337393469923,-0.005889871274212702,-0.010134959810484737,-0.01359510046890406,-0.014991529756023038,-0.01555649698033221,-0.01907354593976182,-0.025028640349499323,-0.03077411537490366,-0.032491617203453275,-0.033432057451947876,-0.03419228005983588,-0.03405936187289385,-0.03230142940022992,-0.030874351717117245,-0.03256698772177007,-0.03353954454374453,-0.03436723303903006,-0.03340381527816095,-0.03428412594340844,-0.03191058558136364,-0.02842066811410552,-0.030072213482267317,-0.031733408183418306,-0.033970437066692304,-0.032840624838884454,-0.032988093413316835,-0.03132296625758792,-0.029673263368144447,-0.028223046230083332,-0.024573948379226402,-0.02216594785966035,-0.020977012842531922,-0.017760049583609498,-0.019120248039215058,-0.01908822007582281,-0.01675149720518184,-0.014256072139863159,-0.01479784490985917,-0.015350464776787302,-0.01305487531992104,-0.011987433899472887,-0.010573233706506808,-0.012665838841290075
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
